state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Alabama,01001,"Autauga County",19838,7503,27770
Alabama,01003,"Baldwin County",83544,24578,109679
Alabama,01005,"Barbour County",5622,4816,10518
Alabama,01007,"Bibb County",7525,1986,9595
Alabama,01009,"Blount County",24711,2640,27588
Alabama,01011,"Bullock County",1146,3446,4613
Alabama,01013,"Butler County",5458,3965,9488
Alabama,01015,"Calhoun County",35101,15216,50983
Alabama,01017,"Chambers County",8753,6365,15284
Alabama,01019,"Cherokee County",10583,1624,12301
Alabama,01021,"Chilton County",16085,3073,19310
Alabama,01023,"Choctaw County",4296,3127,7464
Alabama,01025,"Clarke County",7324,5755,13135
Alabama,01027,"Clay County",5601,1267,6930
Alabama,01029,"Cleburne County",6484,675,7227
Alabama,01031,"Coffee County",16899,5076,22275
Alabama,01033,"Colbert County",19203,8343,27886
Alabama,01035,"Conecuh County",3442,2966,6441
Alabama,01037,"Coosa County",3631,1796,5479
Alabama,01039,"Covington County",14586,2721,17430
Alabama,01041,"Crenshaw County",4864,1700,6617
Alabama,01043,"Cullman County",36880,4478,41851
Alabama,01045,"Dale County",14303,5170,19738
Alabama,01047,"Dallas County",5524,12230,17864
Alabama,01049,"DeKalb County",24767,4281,29356
Alabama,01051,"Elmore County",30164,10367,41030
Alabama,01053,"Escambia County",10869,4918,15910
Alabama,01055,"Etowah County",35528,11567,47728
Alabama,01057,"Fayette County",7300,1395,8766
Alabama,01059,"Franklin County",10376,2086,12578
Alabama,01061,"Geneva County",10848,1595,12545
Alabama,01063,"Greene County",875,3884,4775
Alabama,01065,"Hale County",3190,4687,7922
Alabama,01067,"Henry County",6607,2606,9298
Alabama,01069,"Houston County",32618,12917,46173
Alabama,01071,"Jackson County",19670,3717,23636
Alabama,01073,"Jefferson County",138843,181688,325848
Alabama,01075,"Lamar County",6174,978,7193
Alabama,01077,"Lauderdale County",31721,11915,44339
Alabama,01079,"Lawrence County",12322,3562,16031
Alabama,01081,"Lee County",42221,27860,71449
Alabama,01083,"Limestone County",34640,13672,49235
Alabama,01085,"Lowndes County",1836,4972,6835
Alabama,01087,"Macon County",1541,7108,8723
Alabama,01089,"Madison County",102780,87286,194767
Alabama,01091,"Marengo County",5343,5488,10900
Alabama,01093,"Marion County",12205,1463,13807
Alabama,01095,"Marshall County",33191,5943,39655
Alabama,01097,"Mobile County",101243,79474,183164
Alabama,01099,"Monroe County",6147,4455,10668
Alabama,01101,"Montgomery County",33311,64529,99139
Alabama,01103,"Morgan County",39664,13234,53722
Alabama,01105,"Perry County",1339,3860,5230
Alabama,01107,"Pickens County",5594,4022,9668
Alabama,01109,"Pike County",8042,5636,13841
Alabama,01111,"Randolph County",8559,2203,10837
Alabama,01113,"Russell County",9864,11228,21329
Alabama,01115,"St. Clair County",36166,7744,44441
Alabama,01117,"Shelby County",79700,33268,114950
Alabama,01119,"Sumter County",1598,4648,6291
Alabama,01121,"Talladega County",22235,13138,35663
Alabama,01123,"Tallapoosa County",14963,5859,20991
Alabama,01125,"Tuscaloosa County",51117,37765,90172
Alabama,01127,"Walker County",26002,4834,31170
Alabama,01129,"Washington County",6564,2258,8876
Alabama,01131,"Wilcox County",1833,4048,5903
Alabama,01133,"Winston County",10195,974,11284
Alaska,02901,"District 1",3511,3477,7360
Alaska,02902,"District 2",3674,2104,6161
Alaska,02903,"District 3",6076,1903,8385
Alaska,02904,"District 4",4690,5345,10587
Alaska,02905,"District 5",4077,4204,8706
Alaska,02906,"District 6",5770,3272,9518
Alaska,02907,"District 7",7027,2215,9664
Alaska,02908,"District 8",7618,1953,9957
Alaska,02909,"District 9",7787,2769,11047
Alaska,02910,"District 10",8081,2727,11256
Alaska,02911,"District 11",7096,3130,10686
Alaska,02912,"District 12",7893,2957,11280
Alaska,02913,"District 13",4652,2666,7765
Alaska,02914,"District 14",6714,4261,11534
Alaska,02915,"District 15",2671,2622,5593
Alaska,02916,"District 16",3516,4274,8170
Alaska,02917,"District 17",2810,4136,7271
Alaska,02918,"District 18",2760,4681,7759
Alaska,02919,"District 19",1975,3118,5338
Alaska,02920,"District 20",2383,4881,7544
Alaska,02921,"District 21",3690,5414,9482
Alaska,02922,"District 22",4684,4553,9597
Alaska,02923,"District 23",3655,3810,7796
Alaska,02924,"District 24",5378,4736,10484
Alaska,02925,"District 25",4407,4600,9369
Alaska,02926,"District 26",5243,4558,20292
Alaska,02927,"District 27",4324,4844,19037
Alaska,02928,"District 28",6162,6264,25580
Alaska,02929,"District 29",7464,2985,10784
Alaska,02930,"District 30",7180,2638,10226
Alaska,02931,"District 31",6971,5037,12481
Alaska,02932,"District 32",4440,3506,8361
Alaska,02933,"District 33",3059,7535,11016
Alaska,02934,"District 34",4543,5763,10794
Alaska,02935,"District 35",4769,5011,10149
Alaska,02936,"District 36",5114,3796,9292
Alaska,02937,"District 37",2358,2560,5168
Alaska,02938,"District 38",1737,3202,5299
Alaska,02939,"District 39",1939,3580,5930
Alaska,02940,"District 40",1994,2318,4628
Arizona,04001,"Apache County",11442,23293,35183
Arizona,04003,"Cochise County",35557,23732,60473
