state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Alabama,1001,Autauga County,19838,7503,27770
Alabama,1003,Baldwin County,83544,24578,109679
Alabama,1005,Barbour County,5622,4816,10518
Alabama,1007,Bibb County,7525,1986,9595
Alabama,1009,Blount County,24711,2640,27588
Alabama,1011,Bullock County,1146,3446,4613
Alabama,1013,Butler County,5458,3965,9488
Alabama,1015,Calhoun County,35101,15216,50983
Alabama,1017,Chambers County,8753,6365,15284
Alabama,1019,Cherokee County,10583,1624,12301
Alabama,1021,Chilton County,16085,3073,19310
Alabama,1023,Choctaw County,4296,3127,7464
Alabama,1025,Clarke County,7324,5755,13135
Alabama,1027,Clay County,5601,1267,6930
Alabama,1029,Cleburne County,6484,675,7227
Alabama,1031,Coffee County,16899,5076,22275
Alabama,1033,Colbert County,19203,8343,27886
Alabama,1035,Conecuh County,3442,2966,6441
Alabama,1037,Coosa County,3631,1796,5479
Alabama,1039,Covington County,14586,2721,17430
Alabama,1041,Crenshaw County,4864,1700,6617
Alabama,1043,Cullman County,36880,4478,41851
Alabama,1045,Dale County,14303,5170,19738
Alabama,1047,Dallas County,5524,12230,17864
Alabama,1049,DeKalb County,24767,4281,29356
Alabama,1051,Elmore County,30164,10367,41030
Alabama,1053,Escambia County,10869,4918,15910
Alabama,1055,Etowah County,35528,11567,47728
Alabama,1057,Fayette County,7300,1395,8766
Alabama,1059,Franklin County,10376,2086,12578
Alabama,1061,Geneva County,10848,1595,12545
Alabama,1063,Greene County,875,3884,4775
Alabama,1065,Hale County,3190,4687,7922
Alabama,1067,Henry County,6607,2606,9298
Alabama,1069,Houston County,32618,12917,46173
Alabama,1071,Jackson County,19670,3717,23636
Alabama,1073,Jefferson County,138843,181688,325848
Alabama,1075,Lamar County,6174,978,7193
Alabama,1077,Lauderdale County,31721,11915,44339
Alabama,1079,Lawrence County,12322,3562,16031
Alabama,1081,Lee County,42221,27860,71449
Alabama,1083,Limestone County,34640,13672,49235
Alabama,1085,Lowndes County,1836,4972,6835
Alabama,1087,Macon County,1541,7108,8723
Alabama,1089,Madison County,102780,87286,194767
Alabama,1091,Marengo County,5343,5488,10900
Alabama,1093,Marion County,12205,1463,13807
Alabama,1095,Marshall County,33191,5943,39655
Alabama,1097,Mobile County,101243,79474,183164
Alabama,1099,Monroe County,6147,4455,10668
Alabama,1101,Montgomery County,33311,64529,99139
Alabama,1103,Morgan County,39664,13234,53722
Alabama,1105,Perry County,1339,3860,5230
Alabama,1107,Pickens County,5594,4022,9668
Alabama,1109,Pike County,8042,5636,13841
Alabama,1111,Randolph County,8559,2203,10837
Alabama,1113,Russell County,9864,11228,21329
Alabama,1115,St. Clair County,36166,7744,44441
Alabama,1117,Shelby County,79700,33268,114950
Alabama,1119,Sumter County,1598,4648,6291
Alabama,1121,Talladega County,22235,13138,35663
Alabama,1123,Tallapoosa County,14963,5859,20991
Alabama,1125,Tuscaloosa County,51117,37765,90172
Alabama,1127,Walker County,26002,4834,31170
Alabama,1129,Washington County,6564,2258,8876
Alabama,1131,Wilcox County,1833,4048,5903
Alabama,1133,Winston County,10195,974,11284
