state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Alaska,2901,District 1,3511,3477,7360
Alaska,2902,District 2,3674,2104,6161
Alaska,2903,District 3,6076,1903,8385
Alaska,2904,District 4,4690,5345,10587
Alaska,2905,District 5,4077,4204,8706
Alaska,2906,District 6,5770,3272,9518
Alaska,2907,District 7,7027,2215,9664
Alaska,2908,District 8,7618,1953,9957
Alaska,2909,District 9,7787,2769,11047
Alaska,2910,District 10,8081,2727,11256
Alaska,2911,District 11,7096,3130,10686
Alaska,2912,District 12,7893,2957,11280
Alaska,2913,District 13,4652,2666,7765
Alaska,2914,District 14,6714,4261,11534
Alaska,2915,District 15,2671,2622,5593
Alaska,2916,District 16,3516,4274,8170
Alaska,2917,District 17,2810,4136,7271
Alaska,2918,District 18,2760,4681,7759
Alaska,2919,District 19,1975,3118,5338
Alaska,2920,District 20,2383,4881,7544
Alaska,2921,District 21,3690,5414,9482
Alaska,2922,District 22,4684,4553,9597
Alaska,2923,District 23,3655,3810,7796
Alaska,2924,District 24,5378,4736,10484
Alaska,2925,District 25,4407,4600,9369
Alaska,2926,District 26,5243,4558,20292
Alaska,2927,District 27,4324,4844,19037
Alaska,2928,District 28,6162,6264,25580
Alaska,2929,District 29,7464,2985,10784
Alaska,2930,District 30,7180,2638,10226
Alaska,2931,District 31,6971,5037,12481
Alaska,2932,District 32,4440,3506,8361
Alaska,2933,District 33,3059,7535,11016
Alaska,2934,District 34,4543,5763,10794
Alaska,2935,District 35,4769,5011,10149
Alaska,2936,District 36,5114,3796,9292
Alaska,2937,District 37,2358,2560,5168
Alaska,2938,District 38,1737,3202,5299
Alaska,2939,District 39,1939,3580,5930
Alaska,2940,District 40,1994,2318,4628
