state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Arizona,4001,Apache County,11442,23293,35183
Arizona,4003,Cochise County,35557,23732,60473
Arizona,4005,Coconino County,27052,44698,73346
Arizona,4007,Gila County,18377,8943,27678
Arizona,4009,Graham County,10749,4034,14996
Arizona,4011,Greenlee County,2433,1182,3688
Arizona,4012,La Paz County,5129,2236,7460
Arizona,4013,Maricopa County,995665,1040774,2069475
Arizona,4015,Mohave County,78535,24831,104705
Arizona,4017,Navajo County,27657,23383,51783
Arizona,4019,Pima County,207758,304981,520735
Arizona,4021,Pinal County,107077,75106,185037
Arizona,4023,Santa Cruz County,6194,13138,19561
Arizona,4025,Yavapai County,91527,49602,143280
Arizona,4027,Yuma County,36534,32210,69926
