state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Arkansas,5001,Arkansas County,4304,1818,6292
Arkansas,5003,Ashley County,5548,2125,7926
Arkansas,5005,Baxter County,15836,4635,21007
Arkansas,5007,Benton County,73965,42249,119912
Arkansas,5009,Boone County,13652,3064,17114
Arkansas,5011,Bradley County,2335,1214,3654
Arkansas,5013,Calhoun County,1636,479,2182
Arkansas,5015,Carroll County,7424,4023,11797
Arkansas,5017,Chicot County,1752,2260,4103
Arkansas,5019,Clark County,4616,3438,8395
Arkansas,5021,Clay County,4086,962,5183
Arkansas,5023,Cleburne County,10328,1988,12680
Arkansas,5025,Cleveland County,2867,651,3600
Arkansas,5027,Columbia County,5500,2814,8616
Arkansas,5029,Conway County,5694,2615,8685
Arkansas,5031,Craighead County,25558,11921,38511
Arkansas,5033,Crawford County,18607,4959,24091
Arkansas,5035,Crittenden County,7333,8514,16367
Arkansas,5037,Cross County,4946,1772,6942
Arkansas,5039,Dallas County,1573,963,2649
Arkansas,5041,Desha County,1921,2016,4164
Arkansas,5043,Drew County,4349,2426,6908
Arkansas,5045,Faulkner County,34421,18347,54428
Arkansas,5047,Franklin County,5677,1300,7129
Arkansas,5049,Fulton County,3961,1035,5119
Arkansas,5051,Garland County,29069,14045,44199
Arkansas,5053,Grant County,6794,1268,8200
Arkansas,5055,Greene County,12670,3058,16100
Arkansas,5057,Hempstead County,4470,2138,6848
Arkansas,5059,Hot Spring County,9202,3082,12557
Arkansas,5061,Howard County,3367,1340,4834
Arkansas,5063,Independence County,11250,2806,14512
Arkansas,5065,Izard County,4631,1021,5810
Arkansas,5067,Jackson County,3593,1365,5091
Arkansas,5069,Jefferson County,9521,14981,25158
Arkansas,5071,Johnson County,6938,2283,9498
Arkansas,5073,Lafayette County,1757,839,2679
Arkansas,5075,Lawrence County,4569,1080,5857
Arkansas,5077,Lee County,1286,1423,2848
Arkansas,5079,Lincoln County,2729,1032,3875
Arkansas,5081,Little River County,3715,1226,5177
Arkansas,5083,Logan County,6441,1544,8225
Arkansas,5085,Lonoke County,22884,6686,30662
Arkansas,5087,Madison County,5658,1563,7351
Arkansas,5089,Marion County,5783,1531,7503
Arkansas,5091,Miller County,11920,4245,16529
Arkansas,5093,Mississippi County,7296,4558,12342
Arkansas,5095,Monroe County,1545,1147,2816
Arkansas,5097,Montgomery County,3046,731,3873
Arkansas,5099,Nevada County,2133,1076,3358
Arkansas,5101,Newton County,3192,709,3998
Arkansas,5103,Ouachita County,5294,3995,9629
Arkansas,5105,Perry County,3479,1012,4627
Arkansas,5107,Phillips County,2417,3623,6242
Arkansas,5109,Pike County,3519,644,4246
Arkansas,5111,Poinsett County,5918,1424,7521
Arkansas,5113,Polk County,7035,1246,8490
Arkansas,5115,Pope County,18081,5772,24432
Arkansas,5117,Prairie County,2786,654,3495
Arkansas,5119,Pulaski County,63687,101947,169956
Arkansas,5121,Randolph County,5355,1215,6812
Arkansas,5123,St. Francis County,3242,3604,7108
Arkansas,5125,Saline County,39556,16060,56959
Arkansas,5127,Scott County,2962,483,3551
Arkansas,5129,Searcy County,3365,588,4019
Arkansas,5131,Sebastian County,31198,14487,47140
Arkansas,5133,Sevier County,3884,1116,5202
Arkansas,5135,Sharp County,5938,1398,7566
Arkansas,5137,Stone County,4616,1180,5938
Arkansas,5139,Union County,10478,5584,16607
Arkansas,5141,Van Buren County,6034,1593,7807
Arkansas,5143,Washington County,47504,43824,94266
Arkansas,5145,White County,24182,5978,30885
Arkansas,5147,Woodruff County,1543,856,2476
Arkansas,5149,Yell County,5226,1284,6741
