state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Florida,12001,Alachua County,50972,89704,142604
Florida,12003,Baker County,11911,2037,14059
Florida,12005,Bay County,66097,25614,93024
Florida,12007,Bradford County,10334,3160,13632
Florida,12009,Brevard County,207883,148549,360764
Florida,12011,Broward County,333409,618752,957672
Florida,12013,Calhoun County,5274,1209,6526
Florida,12015,Charlotte County,73243,42273,116340
Florida,12017,Citrus County,65352,27092,93208
Florida,12019,Clay County,84480,38317,124405
Florida,12021,Collier County,128950,77621,207818
Florida,12023,Columbia County,23836,8914,33042
Florida,12027,DeSoto County,8313,4259,12659
Florida,12029,Dixie County,6759,1365,8167
Florida,12031,Duval County,233762,252556,492820
Florida,12033,Escambia County,96674,70929,170372
Florida,12035,Flagler County,43043,28161,71716
Florida,12037,Franklin County,4675,2120,6849
Florida,12039,Gadsden County,7465,16153,23762
Florida,12041,Gilchrist County,7895,1700,9685
Florida,12043,Glades County,3782,1385,5193
Florida,12045,Gulf County,6113,1985,8163
Florida,12047,Hamilton County,3815,1963,5830
Florida,12049,Hardee County,6122,2298,8485
Florida,12051,Hendry County,7906,4929,12940
Florida,12053,Hernando County,70412,37519,108922
Florida,12055,Highlands County,34873,16938,52170
Florida,12057,Hillsborough County,327398,376367,712063
Florida,12059,Holmes County,8080,924,9068
Florida,12061,Indian River County,58872,37844,97484
Florida,12063,Jackson County,15488,6766,22419
Florida,12065,Jefferson County,4479,3897,8451
Florida,12067,Lafayette County,3128,510,3658
Florida,12069,Lake County,125859,83505,211314
Florida,12071,Lee County,233247,157695,393899
Florida,12073,Leon County,57453,103517,162929
Florida,12075,Levy County,16749,6205,23145
Florida,12077,Liberty County,2846,694,3561
Florida,12079,Madison County,5576,3747,9380
Florida,12081,Manatee County,124987,90166,216958
Florida,12083,Marion County,127826,74858,204376
Florida,12085,Martin County,61168,36893,98726
Florida,12086,Miami-Dade County,532833,617864,1156816
Florida,12087,Monroe County,25693,21881,48029
Florida,12089,Nassau County,42566,15564,58811
Florida,12091,Okaloosa County,79798,34248,116373
Florida,12093,Okeechobee County,11470,4390,15954
Florida,12095,Orange County,245398,395014,647403
Florida,12097,Osceola County,73480,97297,172436
Florida,12099,Palm Beach County,334711,433572,773158
Florida,12101,Pasco County,179621,119073,301970
Florida,12103,Pinellas County,276209,277450,559715
Florida,12105,Polk County,194586,145049,343256
Florida,12107,Putnam County,25514,10527,36373
Florida,12109,St. Johns County,110946,63850,176622
Florida,12111,St. Lucie County,86831,84137,172169
Florida,12113,Santa Rosa County,77385,27612,106928
Florida,12115,Sarasota County,148370,120110,270575
Florida,12117,Seminole County,125241,132528,260815
Florida,12119,Sumter County,62761,29341,92485
Florida,12121,Suwannee County,16410,4485,21057
Florida,12123,Taylor County,7751,2299,10127
Florida,12125,Union County,5133,1053,6245
Florida,12127,Volusia County,173821,130575,307439
Florida,12129,Wakulla County,12874,5351,18404
Florida,12131,Walton County,32947,10338,43711
Florida,12133,Washington County,9876,2347,12327
