state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Georgia,13001,Appling County,6570,1784,8390
Georgia,13003,Atkinson County,2300,825,3155
Georgia,13005,Bacon County,4017,625,4667
Georgia,13007,Baker County,897,652,1555
Georgia,13009,Baldwin County,8903,9140,18251
Georgia,13011,Banks County,7795,932,8801
Georgia,13013,Barrow County,26804,10453,37921
Georgia,13015,Bartow County,37672,12091,50464
Georgia,13017,Ben Hill County,4111,2393,6564
Georgia,13019,Berrien County,6419,1269,7743
Georgia,13021,Bibb County,26559,43408,70714
Georgia,13023,Bleckley County,4329,1312,5708
Georgia,13025,Brantley County,6993,700,7749
Georgia,13027,Brooks County,4261,2791,7101
Georgia,13029,Bryan County,14240,6738,21335
Georgia,13031,Bulloch County,18387,11248,30090
Georgia,13033,Burke County,5400,5208,10683
Georgia,13035,Butts County,8406,3274,11771
Georgia,13037,Calhoun County,923,1263,2198
Georgia,13039,Camden County,15249,7967,23686
Georgia,13043,Candler County,3133,1269,4431
Georgia,13045,Carroll County,37476,16236,54472
Georgia,13047,Catoosa County,25167,6932,32593
Georgia,13049,Charlton County,3419,1105,4568
Georgia,13051,Chatham County,53232,78247,133408
Georgia,13053,Chattahoochee County,880,667,1582
Georgia,13055,Chattooga County,8064,1854,10050
Georgia,13057,Cherokee County,99585,42779,144815
Georgia,13059,Clarke County,14450,36055,51346
Georgia,13061,Clay County,637,791,1435
Georgia,13063,Clayton County,15811,95466,112330
Georgia,13065,Clinch County,2105,744,2861
Georgia,13067,Cobb County,165436,221847,393728
Georgia,13069,Coffee County,10578,4511,15214
Georgia,13071,Colquitt County,11777,4190,16086
Georgia,13073,Columbia County,50013,29232,80575
Georgia,13075,Cook County,4900,2059,7035
Georgia,13077,Coweta County,51501,24210,76799
Georgia,13079,Crawford County,4428,1615,6102
Georgia,13081,Crisp County,4985,2982,8033
Georgia,13083,Dade County,6066,1261,7434
Georgia,13085,Dawson County,13398,2486,16081
Georgia,13087,Decatur County,6755,4782,11625
Georgia,13089,DeKalb County,58377,308162,370746
Georgia,13091,Dodge County,5843,2172,8071
Georgia,13093,Dooly County,2159,1911,4105
Georgia,13095,Dougherty County,10441,24568,35287
Georgia,13097,Douglas County,25454,42814,69106
Georgia,13099,Early County,2710,2450,5188
Georgia,13101,Echols County,1256,167,1441
Georgia,13103,Effingham County,23361,7718,31571
Georgia,13105,Elbert County,6226,2879,9171
Georgia,13107,Emanuel County,6553,2886,9505
Georgia,13109,Evans County,2888,1324,4247
Georgia,13111,Fannin County,12169,2570,14849
Georgia,13113,Fayette County,37956,33062,71994
Georgia,13115,Floyd County,28906,11917,41341
Georgia,13117,Forsyth County,85123,42208,129311
Georgia,13119,Franklin County,9069,1593,10765
Georgia,13121,Fulton County,137247,380212,523779
Georgia,13123,Gilmer County,13429,2932,16525
Georgia,13125,Glascock County,1402,155,1565
Georgia,13127,Glynn County,25617,15882,41988
Georgia,13129,Gordon County,19405,4384,24033
Georgia,13131,Grady County,7034,3619,10707
Georgia,13133,Greene County,7066,4087,11244
Georgia,13135,Gwinnett County,166400,241994,414023
Georgia,13137,Habersham County,16637,3562,20431
Georgia,13139,Hall County,64183,25033,90537
Georgia,13141,Hancock County,1154,2976,4153
Georgia,13143,Haralson County,12330,1791,14246
Georgia,13145,Harris County,14319,5457,19991
Georgia,13147,Hart County,9465,3157,12728
Georgia,13149,Heard County,4519,824,5394
Georgia,13151,Henry County,48259,73443,122998
Georgia,13153,Houston County,41540,32239,74838
Georgia,13155,Irwin County,3134,1008,4168
Georgia,13157,Jackson County,29502,7642,37675
Georgia,13159,Jasper County,5822,1761,7644
Georgia,13161,Jeff Davis County,4695,1028,5771
Georgia,13163,Jefferson County,3537,4058,7639
Georgia,13165,Jenkins County,2161,1266,3455
Georgia,13167,Johnson County,2850,1222,4100
Georgia,13169,Jones County,9940,4882,14934
Georgia,13171,Lamar County,6331,2620,9045
Georgia,13173,Lanier County,2509,1019,3576
Georgia,13175,Laurens County,14493,8074,22731
Georgia,13177,Lee County,12007,4558,16714
