state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Idaho,16001,Ada County,130699,120539,259389
Idaho,16003,Adams County,1941,591,2586
Idaho,16005,Bannock County,23331,14682,39553
Idaho,16007,Bear Lake County,2914,350,3315
Idaho,16009,Benewah County,3878,977,4973
Idaho,16011,Bingham County,15295,4124,20094
Idaho,16013,Blaine County,4031,8919,13288
Idaho,16015,Boise County,3485,1204,4820
Idaho,16017,Bonner County,18369,8310,27352
Idaho,16019,Bonneville County,37805,14254,53995
Idaho,16021,Boundary County,4937,1220,6313
Idaho,16023,Butte County,1202,188,1415
Idaho,16025,Camas County,507,149,754
Idaho,16027,Canyon County,61759,25881,90438
Idaho,16029,Caribou County,2906,431,3416
Idaho,16031,Cassia County,7907,1464,9629
Idaho,16033,Clark County,264,41,311
Idaho,16035,Clearwater County,3453,877,4419
Idaho,16037,Custer County,2089,603,2739
Idaho,16039,Elmore County,7246,2601,10205
Idaho,16041,Franklin County,5845,657,6664
Idaho,16043,Fremont County,5548,998,6719
Idaho,16045,Gem County,7951,1803,9958
Idaho,16047,Gooding County,4659,1256,6050
Idaho,16049,Idaho County,7826,1561,9602
Idaho,16051,Jefferson County,12099,1661,14173
Idaho,16053,Jerome County,5734,1893,7812
Idaho,16055,Kootenai County,62837,24312,89878
Idaho,16057,Latah County,9472,10236,20570
Idaho,16059,Lemhi County,3592,1032,4738
Idaho,16061,Lewis County,1489,349,1870
Idaho,16063,Lincoln County,1469,414,1940
Idaho,16065,Madison County,13559,2666,17112
Idaho,16067,Minidoka County,6265,1550,7993
Idaho,16069,Nez Perce County,13738,6686,20967
Idaho,16071,Oneida County,2148,249,2451
Idaho,16073,Owyhee County,3819,816,4742
Idaho,16075,Payette County,8862,2161,11293
Idaho,16077,Power County,2116,865,3086
Idaho,16079,Shoshone County,4216,1693,6049
Idaho,16081,Teton County,2858,3318,6347
Idaho,16083,Twin Falls County,25897,9391,36680
Idaho,16085,Valley County,3947,2976,7063
Idaho,16087,Washington County,4154,1073,5344
