state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Illinois,17001,Adams County,24220,8633,33527
Illinois,17003,Alexander County,1486,1114,2625
Illinois,17005,Bond County,5625,2288,8144
Illinois,17007,Boone County,13883,10542,24979
Illinois,17009,Brown County,1931,486,2525
Illinois,17011,Bureau County,10411,6669,17434
Illinois,17013,Calhoun County,2046,677,2773
Illinois,17015,Carroll County,5105,2748,8024
Illinois,17017,Cass County,3625,1615,5326
Illinois,17019,Champaign County,35285,57067,95568
Illinois,17021,Christian County,11563,4335,16204
Illinois,17023,Clark County,6226,1993,8355
Illinois,17025,Clay County,5629,1129,6899
Illinois,17027,Clinton County,14304,4493,19214
Illinois,17029,Coles County,14037,8067,22606
Illinois,17031,Cook County,558269,1725973,2321399
Illinois,17033,Crawford County,7043,2202,9441
Illinois,17035,Cumberland County,4601,1142,5850
Illinois,17037,DeKalb County,21905,24643,47989
Illinois,17039,De Witt County,5632,2191,8024
Illinois,17041,Douglas County,6227,2335,8760
Illinois,17043,DuPage County,193611,281222,485064
Illinois,17045,Edgar County,6193,1887,8196
Illinois,17047,Edwards County,2833,488,3368
Illinois,17049,Effingham County,15006,3716,19083
Illinois,17051,Fayette County,8055,1826,10076
Illinois,17053,Ford County,5048,1754,6967
Illinois,17055,Franklin County,13622,4760,18669
Illinois,17057,Fulton County,9867,6503,16724
Illinois,17059,Gallatin County,2019,622,2675
Illinois,17061,Greene County,4770,1349,6227
Illinois,17063,Grundy County,16523,9626,26753
Illinois,17065,Hamilton County,3432,824,4323
Illinois,17067,Hancock County,6906,2315,9383
Illinois,17069,Hardin County,1691,449,2162
Illinois,17071,Henderson County,2394,1187,3656
Illinois,17073,Henry County,15300,9797,25700
Illinois,17075,Iroquois County,10877,2908,14044
Illinois,17077,Jackson County,10890,11181,22716
Illinois,17079,Jasper County,4494,1007,5586
Illinois,17081,Jefferson County,12476,4608,17436
Illinois,17083,Jersey County,8712,2961,11960
Illinois,17085,Jo Daviess County,7166,5109,12495
Illinois,17087,Johnson County,5059,1281,6450
Illinois,17089,Kane County,96775,130166,231876
Illinois,17091,Kankakee County,28532,20271,50039
Illinois,17093,Kendall County,29492,33168,64205
Illinois,17095,Knox County,12009,10703,23205
Illinois,17097,Lake County,123594,204032,334156
Illinois,17099,LaSalle County,30113,22442,53683
Illinois,17101,Lawrence County,4886,1419,6422
Illinois,17103,Lee County,9630,6407,16440
Illinois,17105,Livingston County,12208,4615,17174
Illinois,17107,Logan County,9136,3840,13294
Illinois,17109,McDonough County,7027,4992,12285
Illinois,17111,McHenry County,82260,78154,164578
Illinois,17113,McLean County,40502,43933,87389
Illinois,17115,Macon County,28589,19847,49387
Illinois,17117,Macoupin County,16153,7365,24070
Illinois,17119,Madison County,76031,57836,137558
Illinois,17121,Marion County,12678,4524,17492
Illinois,17123,Marshall County,4197,2005,6345
Illinois,17125,Mason County,4654,1985,6766
Illinois,17127,Massac County,4997,1725,6818
Illinois,17129,Menard County,4764,2022,6954
Illinois,17131,Mercer County,5418,3280,8914
Illinois,17133,Monroe County,14142,6569,21206
Illinois,17135,Montgomery County,9544,3905,13761
Illinois,17137,Morgan County,9950,5076,15333
Illinois,17139,Moultrie County,4964,1662,6744
Illinois,17141,Ogle County,16248,9428,26340
Illinois,17143,Peoria County,38252,43578,83973
Illinois,17145,Perry County,7313,2612,10071
Illinois,17147,Piatt County,6248,3329,9851
Illinois,17149,Pike County,6332,1484,7965
Illinois,17151,Pope County,1722,433,2175
Illinois,17153,Pulaski County,1699,891,2631
Illinois,17155,Putnam County,1993,1338,3390
Illinois,17157,Randolph County,11076,3592,14910
Illinois,17159,Richland County,6089,1830,8063
Illinois,17161,Rock Island County,28603,36691,66817
Illinois,17163,St. Clair County,57150,68325,128104
Illinois,17165,Saline County,8103,2789,11089
Illinois,17167,Sangamon County,53485,48917,104751
Illinois,17169,Schuyler County,2773,1068,3918
Illinois,17171,Scott County,2114,572,2741
Illinois,17173,Shelby County,9426,2504,12097
Illinois,17175,Stark County,2004,815,2886
Illinois,17177,Stephenson County,12521,9055,22048
Illinois,17179,Tazewell County,42513,24819,69051
Illinois,17181,Union County,6161,2579,8904
Illinois,17183,Vermilion County,20725,10323,31642
Illinois,17185,Wabash County,4237,1253,5607
Illinois,17187,Warren County,4676,3090,7924
Illinois,17189,Washington County,6115,1641,7921
Illinois,17191,Wayne County,7176,1187,8499
Illinois,17193,White County,5791,1517,7431
Illinois,17195,Whiteside County,14527,12253,27375
Illinois,17197,Will County,155116,183915,346266
Illinois,17199,Williamson County,22801,10206,33729
Illinois,17201,Winnebago County,60861,64056,127710
Illinois,17203,Woodford County,14799,6160,21498
