state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Indiana,18001,Adams County,10686,3236,14209
Indiana,18003,Allen County,92083,73189,169082
Indiana,18005,Bartholomew County,22410,12934,36235
Indiana,18007,Benton County,3007,1009,4114
Indiana,18009,Blackford County,3841,1376,5350
Indiana,18011,Boone County,22351,15244,38520
Indiana,18013,Brown County,5777,3036,8981
Indiana,18015,Carroll County,7086,2224,9495
Indiana,18017,Cass County,10552,4304,15198
Indiana,18019,Clark County,33668,23093,57869
Indiana,18021,Clay County,9499,2552,12267
Indiana,18023,Clinton County,9334,3361,12949
Indiana,18025,Crawford County,3483,1355,4944
Indiana,18027,Daviess County,9576,2169,11954
Indiana,18029,Dearborn County,19528,5446,25383
Indiana,18031,Decatur County,9575,2439,12287
Indiana,18033,DeKalb County,14237,4966,19628
Indiana,18035,Delaware County,26827,20474,48191
Indiana,18037,Dubois County,15033,6292,21770
Indiana,18039,Elkhart County,46972,26108,74387
Indiana,18041,Fayette County,7755,2237,10136
Indiana,18043,Floyd County,23400,17511,41802
Indiana,18045,Fountain County,6154,1629,7986
Indiana,18047,Franklin County,9691,2137,12000
Indiana,18049,Fulton County,6694,2280,9147
Indiana,18051,Gibson County,11817,4023,16161
Indiana,18053,Grant County,18543,8015,27159
Indiana,18055,Greene County,11103,3389,14784
Indiana,18057,Hamilton County,101587,88390,193999
Indiana,18059,Hancock County,28996,12895,42911
Indiana,18061,Harrison County,14565,5343,20236
Indiana,18063,Hendricks County,53802,32604,88505
Indiana,18065,Henry County,15043,5544,21030
Indiana,18067,Howard County,26449,13303,40630
Indiana,18069,Huntington County,13147,4255,17829
Indiana,18071,Jackson County,14555,4302,19238
Indiana,18073,Jasper County,11383,3798,15475
Indiana,18075,Jay County,6361,1926,8461
Indiana,18077,Jefferson County,9663,4731,14697
Indiana,18079,Jennings County,9490,2523,12251
Indiana,18081,Johnson County,51219,24736,77618
Indiana,18083,Knox County,11655,4067,16011
Indiana,18085,Kosciusko County,26499,8364,35787
Indiana,18087,LaGrange County,8110,2355,10633
Indiana,18089,Lake County,91760,124870,219956
Indiana,18091,LaPorte County,25997,22427,49392
Indiana,18093,Lawrence County,15601,4961,21025
Indiana,18095,Madison County,31215,19524,51793
Indiana,18097,Marion County,134175,247772,389619
Indiana,18099,Marshall County,13844,5712,19927
Indiana,18101,Martin County,4029,1011,5144
Indiana,18103,Miami County,10925,3235,14473
Indiana,18105,Monroe County,22071,39861,63151
Indiana,18107,Montgomery County,12659,4213,17198
Indiana,18109,Morgan County,27512,7781,36159
Indiana,18111,Newton County,4942,1509,6591
Indiana,18113,Noble County,14195,4660,19190
Indiana,18115,Ohio County,2392,750,3164
Indiana,18117,Orange County,6432,2224,8832
Indiana,18119,Owen County,7286,2420,9904
Indiana,18121,Parke County,5398,1503,7011
Indiana,18123,Perry County,5345,3203,8722
Indiana,18125,Pike County,4692,1415,6220
Indiana,18127,Porter County,45008,39746,86509
Indiana,18129,Posey County,9206,3811,13236
Indiana,18131,Pulaski County,4246,1463,5806
Indiana,18133,Putnam County,12278,3946,16597
Indiana,18135,Randolph County,8312,2513,11070
Indiana,18137,Ripley County,11261,2774,14271
Indiana,18139,Rush County,6035,1754,7932
Indiana,18141,St. Joseph County,53164,59896,115238
Indiana,18143,Scott County,7328,2698,10161
Indiana,18145,Shelby County,14568,5023,19991
Indiana,18147,Spencer County,7357,3213,10769
Indiana,18149,Starke County,7466,2650,10290
Indiana,18151,Steuben County,11327,4513,16162
Indiana,18153,Sullivan County,6691,2153,8994
Indiana,18155,Switzerland County,3133,964,4154
Indiana,18157,Tippecanoe County,34581,35017,71448
Indiana,18159,Tipton County,6110,1834,8116
Indiana,18161,Union County,2688,736,3483
Indiana,18163,Vanderburgh County,41844,34415,77662
Indiana,18165,Vermillion County,5184,2145,7481
Indiana,18167,Vigo County,24545,18123,43594
Indiana,18169,Wabash County,10762,3494,14573
Indiana,18171,Warren County,3401,974,4472
Indiana,18173,Warrick County,21326,11923,33829
Indiana,18175,Washington County,9114,2784,12139
Indiana,18177,Wayne County,17567,9524,27679
Indiana,18179,Wells County,10855,2928,14050
Indiana,18181,White County,7957,3032,11166
Indiana,18183,Whitley County,12862,4234,17556
