state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Iowa,19001,Adair County,2917,1198,4177
Iowa,19003,Adams County,1530,590,2160
Iowa,19005,Allamakee County,4735,2576,7422
Iowa,19007,Appanoose County,4512,1891,6516
Iowa,19009,Audubon County,2295,1071,3420
Iowa,19011,Benton County,9188,5160,14642
Iowa,19013,Black Hawk County,29640,35647,66593
Iowa,19015,Boone County,8695,6303,15340
Iowa,19017,Bremer County,8294,5958,14546
Iowa,19019,Buchanan County,6420,4169,10774
Iowa,19021,Buena Vista County,5056,2961,8167
Iowa,19023,Butler County,5542,2424,8098
Iowa,19025,Calhoun County,3689,1470,5258
Iowa,19027,Carroll County,7737,3454,11335
Iowa,19029,Cass County,4969,2201,7276
Iowa,19031,Cedar County,6161,4337,10703
Iowa,19033,Cerro Gordo County,12442,10941,23801
Iowa,19035,Cherokee County,4495,1936,6518
Iowa,19037,Chickasaw County,4308,2233,6631
Iowa,19039,Clarke County,3144,1466,4670
Iowa,19041,Clay County,6137,2662,8969
Iowa,19043,Clayton County,6106,3340,9594
Iowa,19045,Clinton County,13361,10812,24687
Iowa,19047,Crawford County,4854,2220,7154
Iowa,19049,Dallas County,27987,26879,56022
Iowa,19051,Davis County,3032,1013,4102
Iowa,19053,Decatur County,2615,1120,3804
Iowa,19055,Delaware County,6666,3157,10003
Iowa,19057,Des Moines County,10592,8893,19956
Iowa,19059,Dickinson County,7438,3661,11244
Iowa,19061,Dubuque County,27214,25657,53926
Iowa,19063,Emmet County,3265,1520,4853
Iowa,19065,Fayette County,6145,3835,10186
Iowa,19067,Floyd County,4732,3172,8032
Iowa,19069,Franklin County,3422,1626,5130
Iowa,19071,Fremont County,2711,1080,3857
Iowa,19073,Greene County,3223,1769,5057
Iowa,19075,Grundy County,4929,2206,7276
Iowa,19077,Guthrie County,4272,1985,6371
Iowa,19079,Hamilton County,4956,2843,7943
Iowa,19081,Hancock County,4390,1683,6172
Iowa,19083,Hardin County,5850,2976,8989
Iowa,19085,Harrison County,5569,2440,8155
Iowa,19087,Henry County,6507,3275,9982
Iowa,19089,Howard County,3127,1772,4958
Iowa,19091,Humboldt County,3819,1442,5327
Iowa,19093,Ida County,2880,917,3849
Iowa,19095,Iowa County,6009,3547,9742
Iowa,19097,Jackson County,6940,4029,11135
Iowa,19099,Jasper County,12084,7737,20184
Iowa,19101,Jefferson County,4443,4319,8959
Iowa,19103,Johnson County,22925,59177,83851
Iowa,19105,Jones County,6572,4213,10989
Iowa,19107,Keokuk County,3797,1414,5303
Iowa,19109,Kossuth County,6275,2696,9090
Iowa,19111,Lee County,9773,6541,16734
Iowa,19113,Linn County,53364,70874,127458
Iowa,19115,Louisa County,3500,1726,5332
Iowa,19117,Lucas County,3287,1284,4630
Iowa,19119,Lyon County,5707,1067,6863
Iowa,19121,Madison County,6507,3134,9824
Iowa,19123,Mahaska County,8297,2894,11404
Iowa,19125,Marion County,12663,6178,19232
Iowa,19127,Marshall County,9571,8176,18136
Iowa,19129,Mills County,5585,2508,8268
Iowa,19131,Mitchell County,3677,2053,5822
Iowa,19133,Monona County,3248,1407,4728
Iowa,19135,Monroe County,2975,1078,4088
Iowa,19137,Montgomery County,3659,1583,5327
Iowa,19139,Muscatine County,10823,9372,20671
Iowa,19141,O'Brien County,5861,1569,7551
Iowa,19143,Osceola County,2690,601,3328
Iowa,19145,Page County,5319,2086,7528
Iowa,19147,Palo Alto County,3370,1519,4958
Iowa,19149,Plymouth County,10492,3494,14188
Iowa,19151,Pocahontas County,2826,933,3823
Iowa,19153,Polk County,106800,146250,258755
Iowa,19155,Pottawattamie County,26247,18575,45744
Iowa,19157,Poweshiek County,5657,4306,10140
Iowa,19159,Ringgold County,1968,709,2714
Iowa,19161,Sac County,4061,1389,5535
Iowa,19163,Scott County,43683,46926,92599
Iowa,19165,Shelby County,4697,1959,6795
Iowa,19167,Sioux County,15680,3019,19051
Iowa,19169,Story County,20340,29175,51038
Iowa,19171,Tama County,5303,3577,9048
Iowa,19173,Taylor County,2463,746,3249
Iowa,19175,Union County,4010,2061,6185
Iowa,19177,Van Buren County,2859,875,3791
Iowa,19179,Wapello County,9516,5821,15633
Iowa,19181,Warren County,17782,12574,31039
Iowa,19183,Washington County,6971,4561,11765
Iowa,19185,Wayne County,2338,727,3109
Iowa,19187,Webster County,10938,6613,17822
Iowa,19189,Winnebago County,3707,2135,5970
Iowa,19191,Winneshiek County,6235,5617,12064
Iowa,19193,Woodbury County,25736,18704,45362
Iowa,19195,Worth County,2738,1596,4418
Iowa,19197,Wright County,4136,1996,6254
