state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Kentucky,21001,Adair County,7276,1392,8768
Kentucky,21003,Allen County,7587,1642,9364
Kentucky,21005,Anderson County,9661,3348,13254
Kentucky,21007,Ballard County,3356,825,4225
Kentucky,21009,Barren County,14654,5127,20064
Kentucky,21011,Bath County,3986,1573,5627
Kentucky,21013,Bell County,8140,1789,10044
Kentucky,21015,Boone County,44814,20901,66998
Kentucky,21017,Bourbon County,6190,3296,9648
Kentucky,21019,Boyd County,14295,7083,21751
Kentucky,21021,Boyle County,8872,5298,14478
Kentucky,21023,Bracken County,3398,800,4246
Kentucky,21025,Breathitt County,4265,1301,5661
Kentucky,21027,Breckinridge County,7701,2350,10201
Kentucky,21029,Bullitt County,30708,10552,41998
Kentucky,21031,Butler County,4960,1079,6125
Kentucky,21033,Caldwell County,4906,1433,6434
Kentucky,21035,Calloway County,11352,5797,17457
Kentucky,21037,Campbell County,28482,19374,48878
Kentucky,21039,Carlisle County,2159,463,2638
Kentucky,21041,Carroll County,2954,1116,4136
Kentucky,21043,Carter County,8775,2642,11586
Kentucky,21045,Casey County,6179,918,7171
Kentucky,21047,Christian County,15080,8296,23863
Kentucky,21049,Clark County,11811,6004,18139
Kentucky,21051,Clay County,6677,831,7591
Kentucky,21053,Clinton County,4280,603,4932
Kentucky,21055,Crittenden County,3451,731,4242
Kentucky,21057,Cumberland County,2769,508,3309
Kentucky,21059,Daviess County,31025,17286,49287
Kentucky,21061,Edmonson County,4828,1227,6132
Kentucky,21063,Elliott County,2246,712,2995
Kentucky,21065,Estill County,5100,1355,6540
Kentucky,21067,Fayette County,58860,90600,152912
Kentucky,21069,Fleming County,5534,1474,7068
Kentucky,21071,Floyd County,12250,3884,16353
Kentucky,21073,Franklin County,12900,12652,26072
Kentucky,21075,Fulton County,1606,794,2426
Kentucky,21077,Gallatin County,2955,822,3849
Kentucky,21079,Garrard County,6754,1830,8706
Kentucky,21081,Grant County,8725,2205,11108
Kentucky,21083,Graves County,13206,3560,17019
Kentucky,21085,Grayson County,9453,2400,11985
Kentucky,21087,Green County,4838,920,5812
Kentucky,21089,Greenup County,13064,4873,18176
Kentucky,21091,Hancock County,3145,1351,4587
Kentucky,21093,Hardin County,29832,18101,48941
Kentucky,21095,Harlan County,9367,1494,10971
Kentucky,21097,Harrison County,6334,2400,8859
Kentucky,21099,Hart County,6345,1908,8370
Kentucky,21101,Henderson County,12730,7639,20697
Kentucky,21103,Henry County,5843,2142,8110
Kentucky,21105,Hickman County,1714,458,2199
Kentucky,21107,Hopkins County,15757,5439,21512
Kentucky,21109,Jackson County,5453,605,6113
Kentucky,21111,Jefferson County,150646,228358,386629
Kentucky,21113,Jessamine County,17096,8567,26280
Kentucky,21115,Johnson County,8450,1608,10192
Kentucky,21117,Kenton County,48129,32271,82198
Kentucky,21119,Knott County,4780,1412,6252
Kentucky,21121,Knox County,11012,2114,13273
Kentucky,21123,Larue County,5685,1504,7301
Kentucky,21125,Laurel County,23237,4475,28111
Kentucky,21127,Lawrence County,5633,1238,6955
Kentucky,21129,Lee County,2273,481,2801
Kentucky,21131,Leslie County,4321,446,4813
Kentucky,21133,Letcher County,7226,1799,9135
Kentucky,21135,Lewis County,4986,823,5883
Kentucky,21137,Lincoln County,8489,2254,10914
Kentucky,21139,Livingston County,4010,939,5004
Kentucky,21141,Logan County,9067,3094,12350
Kentucky,21143,Lyon County,3100,1092,4228
Kentucky,21145,McCracken County,21820,11195,33549
Kentucky,21147,McCreary County,5664,725,6438
Kentucky,21149,McLean County,3633,1074,4782
Kentucky,21151,Madison County,27356,15581,43957
Kentucky,21153,Magoffin County,4174,1214,5447
Kentucky,21155,Marion County,6113,2722,8928
Kentucky,21157,Marshall County,13297,4071,17603
Kentucky,21159,Martin County,3496,403,3936
Kentucky,21161,Mason County,5477,2362,7958
Kentucky,21163,Meade County,10185,3632,14113
Kentucky,21165,Menifee County,2311,750,3102
Kentucky,21167,Mercer County,8506,3033,11735
Kentucky,21169,Metcalfe County,3959,975,5012
Kentucky,21171,Monroe County,4628,657,5330
Kentucky,21173,Montgomery County,8993,3630,12842
Kentucky,21175,Morgan County,4301,1175,5544
Kentucky,21177,Muhlenberg County,10497,3545,14235
Kentucky,21179,Nelson County,15703,7188,23256
Kentucky,21181,Nicholas County,2408,955,3396
Kentucky,21183,Ohio County,8582,2404,11129
Kentucky,21185,Oldham County,22654,14505,37976
Kentucky,21187,Owen County,4292,1098,5458
Kentucky,21189,Owsley County,1671,216,1896
Kentucky,21191,Pendleton County,5515,1322,6925
Kentucky,21193,Perry County,8129,2356,10626
Kentucky,21195,Pike County,20284,4866,25395
Kentucky,21197,Powell County,4041,1367,5505
Kentucky,21199,Pulaski County,25442,5666,31557
Kentucky,21201,Robertson County,884,253,1146
Kentucky,21203,Rockcastle County,6577,1134,7784
Kentucky,21205,Rowan County,5994,3880,10065
Kentucky,21207,Russell County,7519,1331,8955
Kentucky,21209,Scott County,17767,10567,28969
Kentucky,21211,Shelby County,15055,8077,23550
Kentucky,21213,Simpson County,5888,2681,8732
Kentucky,21215,Spencer County,8737,2530,11433
Kentucky,21217,Taylor County,9376,2963,12517
Kentucky,21219,Todd County,4062,1205,5363
Kentucky,21221,Trigg County,5487,1791,7376
Kentucky,21223,Trimble County,3227,1012,4320
Kentucky,21225,Union County,4965,1529,6577
Kentucky,21227,Warren County,31791,22479,55401
Kentucky,21229,Washington County,4482,1644,6225
Kentucky,21231,Wayne County,7430,1700,9240
Kentucky,21233,Webster County,4506,1412,5993
Kentucky,21235,Whitley County,12567,2552,15356
Kentucky,21237,Wolfe County,2097,839,2979
