state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Louisiana,22001,Acadia Parish,22596,5443,28425
Louisiana,22003,Allen Parish,7574,2108,9810
Louisiana,22005,Ascension Parish,40687,20399,62325
Louisiana,22007,Assumption Parish,7271,3833,11235
Louisiana,22009,Avoyelles Parish,12028,4979,17292
Louisiana,22011,Beauregard Parish,13575,2542,16357
Louisiana,22013,Bienville Parish,3891,3067,7050
Louisiana,22015,Bossier Parish,38074,15662,54655
Louisiana,22017,Caddo Parish,48021,55110,104912
Louisiana,22019,Calcasieu Parish,55066,25982,82663
Louisiana,22021,Caldwell Parish,3976,745,4762
Louisiana,22023,Cameron Parish,3671,324,4039
Louisiana,22025,Catahoula Parish,3541,1269,4858
Louisiana,22027,Claiborne Parish,3770,2731,6580
Louisiana,22029,Concordia Parish,5550,3177,8828
Louisiana,22031,De Soto Parish,9112,5457,14736
Louisiana,22033,East Baton Rouge Parish,88420,115577,208182
Louisiana,22035,East Carroll Parish,1080,1900,3036
Louisiana,22037,East Feliciana Parish,6064,4280,10509
Louisiana,22039,Evangeline Parish,11053,4158,15412
Louisiana,22041,Franklin Parish,6970,2658,9720
Louisiana,22043,Grant Parish,8117,1157,9392
Louisiana,22045,Iberia Parish,21251,11027,32713
Louisiana,22047,Iberville Parish,7893,8514,16719
Louisiana,22049,Jackson Parish,5394,2143,7632
Louisiana,22051,Jefferson Parish,105949,84477,193733
Louisiana,22053,Jefferson Davis Parish,11423,3208,14841
Louisiana,22055,Lafayette Parish,72519,39685,114521
Louisiana,22057,Lafourche Parish,36024,8672,45388
Louisiana,22059,LaSalle Parish,6378,638,7077
Louisiana,22061,Lincoln Parish,11311,7559,19275
Louisiana,22063,Livingston Parish,54877,9249,65230
Louisiana,22065,Madison Parish,1930,2654,4670
Louisiana,22067,Morehouse Parish,6510,4946,11574
Louisiana,22069,Natchitoches Parish,9358,6896,16554
Louisiana,22071,Orleans Parish,26664,147854,177819
Louisiana,22073,Ouachita Parish,42255,25913,69166
Louisiana,22075,Plaquemines Parish,7412,3414,11014
Louisiana,22077,Pointe Coupee Parish,7503,4683,12371
Louisiana,22079,Rapides Parish,38347,19475,58865
Louisiana,22081,Red River Parish,2413,1644,4132
Louisiana,22083,Richland Parish,6607,3225,9940
Louisiana,22085,Sabine Parish,8776,1731,10596
Louisiana,22087,St. Bernard Parish,11179,6151,17650
Louisiana,22089,St. Charles Parish,18233,9800,28517
Louisiana,22091,St. Helena Parish,2714,3346,6158
Louisiana,22093,St. James Parish,5954,6510,12590
Louisiana,22095,St. John the Baptist Parish,7538,13582,21432
Louisiana,22097,St. Landry Parish,23171,17372,41154
Louisiana,22099,St. Martin Parish,18203,8439,27038
Louisiana,22101,St. Mary Parish,14811,8055,23186
Louisiana,22103,St. Tammany Parish,99666,37746,140110
Louisiana,22105,Tangipahoa Parish,37806,18887,57661
Louisiana,22107,Tensas Parish,1197,1329,2554
Louisiana,22109,Terrebonne Parish,34339,11198,46240
Louisiana,22111,Union Parish,8407,2654,11201
Louisiana,22113,Vermilion Parish,21930,5009,27324
Louisiana,22115,Vernon Parish,14107,2898,17268
Louisiana,22117,Washington Parish,13307,5970,19513
Louisiana,22119,Webster Parish,11830,6172,18216
Louisiana,22121,West Baton Rouge Parish,7684,6200,14097
Louisiana,22123,West Carroll Parish,4317,710,5052
Louisiana,22125,West Feliciana Parish,3863,2298,6268
Louisiana,22127,Winn Parish,4619,1543,6225
