state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Maine,23001,Androscoggin County,29268,27617,58707
Maine,23003,Aroostook County,21080,13956,35746
Maine,23005,Cumberland County,59584,128759,193765
Maine,23007,Franklin County,8754,8069,17390
Maine,23009,Hancock County,14982,19369,35325
Maine,23011,Kennebec County,34721,34902,71858
Maine,23013,Knox County,9982,15110,25734
Maine,23015,Lincoln County,10256,12684,23594
Maine,23017,Oxford County,17698,14755,33492
Maine,23019,Penobscot County,44825,37713,85269
Maine,23021,Piscataquis County,6143,3517,9908
Maine,23023,Sagadahoc County,9755,13528,24038
Maine,23025,Somerset County,16644,10199,27578
Maine,23027,Waldo County,11196,12345,24320
Maine,23029,Washington County,10194,6761,17357
Maine,23031,York County,54817,71189,129659
