state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Maryland,24001,Allegany County,20886,9158,30641
Maryland,24003,Anne Arundel County,127821,172823,309617
Maryland,24005,Baltimore County,146202,258409,414932
Maryland,24009,Calvert County,25346,22587,49112
Maryland,24011,Caroline County,10283,5095,15794
Maryland,24013,Carroll County,60218,36456,100327
Maryland,24015,Cecil County,29439,16809,47462
Maryland,24017,Charles County,25579,62171,89498
Maryland,24019,Dorchester County,8764,6857,15977
Maryland,24021,Frederick County,63682,77675,145615
Maryland,24023,Garrett County,12002,3281,15611
Maryland,24025,Harford County,80930,63095,148186
Maryland,24027,Howard County,48390,129433,183062
Maryland,24029,Kent County,5195,5329,10794
Maryland,24031,Montgomery County,101222,419569,533743
Maryland,24033,Prince George's County,37090,379208,424855
Maryland,24035,Queen Anne's County,18741,10709,30290
Maryland,24037,St. Mary's County,30826,23138,55665
Maryland,24039,Somerset County,5739,4241,10147
Maryland,24041,Talbot County,10946,11062,22555
Maryland,24043,Washington County,40224,26044,67779
Maryland,24045,Wicomico County,22944,22054,46216
Maryland,24047,Worcester County,18571,12560,31691
Maryland,24510,Baltimore city,25374,207260,237461
