state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Michigan,26001,Alcona County,4848,2142,7064
Michigan,26003,Alger County,3014,2053,5128
Michigan,26005,Allegan County,41392,24449,67094
Michigan,26007,Alpena County,10686,6000,16969
Michigan,26009,Antrim County,9748,5960,15949
Michigan,26011,Arenac County,5928,2774,8831
Michigan,26013,Baraga County,2512,1478,4038
Michigan,26015,Barry County,23471,11797,35905
Michigan,26017,Bay County,33125,26151,60255
Michigan,26019,Benzie County,6601,5480,12262
Michigan,26021,Berrien County,43519,37438,82391
Michigan,26023,Branch County,14064,6159,20536
Michigan,26025,Calhoun County,36221,28877,66281
Michigan,26027,Cass County,16699,9130,26216
Michigan,26029,Charlevoix County,9841,6939,17000
Michigan,26031,Cheboygan County,10186,5437,15868
Michigan,26033,Chippewa County,10681,6648,17642
Michigan,26035,Clare County,10861,5199,16281
Michigan,26037,Clinton County,25098,21968,47927
Michigan,26039,Crawford County,5087,2672,7861
Michigan,26041,Delta County,13207,7606,21151
Michigan,26043,Dickinson County,9617,4744,14589
Michigan,26045,Eaton County,31798,31299,64327
Michigan,26047,Emmet County,12135,9662,22177
Michigan,26049,Genesee County,98714,119390,221360
Michigan,26051,Gladwin County,9893,4524,14603
Michigan,26053,Gogebic County,4600,3570,8266
Michigan,26055,Grand Traverse County,30502,28683,60236
Michigan,26057,Gratiot County,12102,6693,19127
Michigan,26059,Hillsdale County,17037,5883,23302
Michigan,26061,Houghton County,10378,7750,18501
Michigan,26063,Huron County,12731,5490,18437
Michigan,26065,Ingham County,47639,94212,144550
Michigan,26067,Ionia County,20657,10901,32209
Michigan,26069,Iosco County,9759,5373,15363
Michigan,26071,Iron County,4216,2493,6789
Michigan,26073,Isabella County,14815,14072,29421
Michigan,26075,Jackson County,47372,31995,80861
Michigan,26077,Kalamazoo County,56823,83686,143414
Michigan,26079,Kalkaska County,7436,3002,10631
Michigan,26081,Kent County,165741,187915,361048
Michigan,26083,Keweenaw County,862,672,1557
Michigan,26085,Lake County,3946,2288,6323
Michigan,26087,Lapeer County,35482,16367,52650
Michigan,26089,Leelanau County,7916,8795,16900
Michigan,26091,Lenawee County,31541,20918,53375
Michigan,26093,Livingston County,76982,48220,127197
Michigan,26095,Luce County,2109,842,3001
Michigan,26097,Mackinac County,4304,2632,7015
Michigan,26099,Macomb County,263863,223952,494256
Michigan,26101,Manistee County,8321,6107,14655
Michigan,26103,Marquette County,16286,20465,37462
Michigan,26105,Mason County,10207,6802,17254
Michigan,26107,Mecosta County,13267,7375,21049
Michigan,26109,Menominee County,8117,4316,12607
Michigan,26111,Midland County,27675,20493,49088
Michigan,26113,Missaukee County,6648,1967,8755
Michigan,26115,Monroe County,52710,32975,87148
Michigan,26117,Montcalm County,21815,9703,32100
Michigan,26119,Montmorency County,4171,1628,5859
Michigan,26121,Muskegon County,45133,45643,92444
Michigan,26123,Newaygo County,18857,7873,27161
Michigan,26125,Oakland County,325971,434148,770351
Michigan,26127,Oceana County,8892,4944,14062
Michigan,26129,Ogemaw County,8253,3475,11907
Michigan,26131,Ontonagon County,2358,1391,3804
Michigan,26133,Osceola County,8928,3214,12329
Michigan,26135,Oscoda County,3466,1342,4874
Michigan,26137,Otsego County,9779,4743,14757
Michigan,26139,Ottawa County,100913,64705,168713
Michigan,26141,Presque Isle County,5342,2911,8344
Michigan,26143,Roscommon County,9670,5166,15018
Michigan,26145,Saginaw County,50785,51088,103349
Michigan,26147,St. Clair County,59185,31363,92064
Michigan,26149,St. Joseph County,18127,9262,27936
Michigan,26151,Sanilac County,16194,5966,22446
Michigan,26153,Schoolcraft County,3090,1589,4745
Michigan,26155,Shiawassee County,23149,15347,39224
Michigan,26157,Tuscola County,20297,8712,29445
Michigan,26159,Van Buren County,21591,16803,39066
Michigan,26161,Washtenaw County,56241,157136,216418
Michigan,26163,Wayne County,264553,597170,872469
Michigan,26165,Wexford County,12102,5838,18265
