state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Mississippi,28001,Adams County,5696,7917,13759
Mississippi,28003,Alcorn County,12818,2782,15811
Mississippi,28005,Amite County,4503,2620,7207
Mississippi,28007,Attala County,5178,3542,8832
Mississippi,28009,Benton County,2570,1679,4292
Mississippi,28011,Bolivar County,4671,8904,13755
Mississippi,28013,Calhoun County,4625,1902,6595
Mississippi,28015,Carroll County,3924,1729,5705
Mississippi,28017,Chickasaw County,4175,3810,8148
Mississippi,28019,Choctaw County,3001,1185,4225
Mississippi,28021,Claiborne County,603,3772,4453
Mississippi,28023,Clarke County,5417,2838,8347
Mississippi,28025,Clay County,4181,5844,10206
Mississippi,28027,Coahoma County,2375,6020,8507
Mississippi,28029,Copiah County,6250,6470,12897
Mississippi,28031,Covington County,5854,3416,9371
Mississippi,28033,DeSoto County,46462,28265,76248
Mississippi,28035,Forrest County,17290,13755,31725
Mississippi,28037,Franklin County,2923,1480,4464
Mississippi,28039,George County,9713,1218,11064
Mississippi,28041,Greene County,4794,966,5816
Mississippi,28043,Grenada County,6081,4734,10919
Mississippi,28045,Hancock County,16132,4504,20957
Mississippi,28047,Harrison County,46822,27728,75865
Mississippi,28049,Hinds County,25141,73550,100191
Mississippi,28051,Holmes County,1369,6588,8115
Mississippi,28053,Humphreys County,1118,3016,4189
Mississippi,28055,Issaquena County,308,355,676
Mississippi,28057,Itawamba County,9438,1249,10826
Mississippi,28059,Jackson County,36295,17375,54623
Mississippi,28061,Jasper County,4302,4341,8742
Mississippi,28063,Jefferson County,531,3327,3911
Mississippi,28065,Jefferson Davis County,2534,3599,6213
Mississippi,28067,Jones County,21226,8517,30091
Mississippi,28069,Kemper County,1787,2887,4732
Mississippi,28071,Lafayette County,12949,10070,23481
Mississippi,28073,Lamar County,20704,7340,28526
Mississippi,28075,Lauderdale County,17967,12960,31266
Mississippi,28077,Lawrence County,4285,2260,6617
Mississippi,28079,Leake County,5228,3897,9204
Mississippi,28081,Lee County,24207,12189,37003
Mississippi,28083,Leflore County,3129,7648,10893
Mississippi,28085,Lincoln County,11596,5040,16818
Mississippi,28087,Lowndes County,13800,13087,27273
Mississippi,28089,Madison County,31091,24440,56335
Mississippi,28091,Marion County,8273,3787,12194
Mississippi,28093,Marshall County,7566,8057,15830
Mississippi,28095,Monroe County,11177,5874,17279
Mississippi,28097,Montgomery County,2917,2121,5078
Mississippi,28099,Neshoba County,8320,3260,11720
Mississippi,28101,Newton County,6997,3075,10189
Mississippi,28103,Noxubee County,1240,4040,5341
Mississippi,28105,Oktibbeha County,9004,10299,19812
Mississippi,28107,Panola County,8060,7403,15635
Mississippi,28109,Pearl River County,19595,4148,24056
Mississippi,28111,Perry County,4500,1362,5922
Mississippi,28113,Pike County,8479,8646,17360
Mississippi,28115,Pontotoc County,11550,2614,14377
Mississippi,28117,Prentiss County,8370,2153,10661
Mississippi,28119,Quitman County,1026,2150,3229
Mississippi,28121,Rankin County,50895,18847,70655
Mississippi,28123,Scott County,6285,4330,10744
Mississippi,28125,Sharkey County,688,1465,2183
Mississippi,28127,Simpson County,7635,4037,11820
Mississippi,28129,Smith County,6458,1791,8327
Mississippi,28131,Stone County,5964,1802,7878
Mississippi,28133,Sunflower County,2799,6781,9683
Mississippi,28135,Tallahatchie County,2488,3105,5691
Mississippi,28137,Tate County,8707,4183,13101
Mississippi,28139,Tippah County,8054,1937,10102
Mississippi,28141,Tishomingo County,7933,1059,9147
Mississippi,28143,Tunica County,926,2580,3565
Mississippi,28145,Union County,10373,2160,12683
Mississippi,28147,Walthall County,4220,2835,7122
Mississippi,28149,Warren County,10365,10442,21056
Mississippi,28151,Washington County,5300,12503,18025
Mississippi,28153,Wayne County,6307,3624,10065
Mississippi,28155,Webster County,4291,1043,5402
Mississippi,28157,Wilkinson County,1324,2749,4130
Mississippi,28159,Winston County,5112,4040,9244
Mississippi,28161,Yalobusha County,3671,2785,6538
Mississippi,28163,Yazoo County,4832,5496,10441
