state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Missouri,29001,Adair County,6413,3710,10336
Missouri,29003,Andrew County,7255,2351,9752
Missouri,29005,Atchison County,2199,564,2814
Missouri,29007,Audrain County,7732,2704,10656
Missouri,29009,Barry County,12425,2948,15598
Missouri,29011,Barton County,5168,844,6077
Missouri,29013,Bates County,6597,1672,8416
Missouri,29015,Benton County,8109,2180,10476
Missouri,29017,Bollinger County,5167,750,5983
Missouri,29019,Boone County,38646,50064,91168
Missouri,29021,Buchanan County,22450,13445,36598
Missouri,29023,Butler County,14602,3301,18141
Missouri,29025,Caldwell County,3725,897,4682
Missouri,29027,Callaway County,14815,5870,21144
Missouri,29029,Camden County,18850,5652,24812
Missouri,29031,Cape Girardeau County,28907,10760,40328
Missouri,29033,Carroll County,3706,786,4532
Missouri,29035,Carter County,2451,418,2897
Missouri,29037,Cass County,37197,19052,57408
Missouri,29039,Cedar County,5788,1145,7044
Missouri,29041,Chariton County,3111,916,4077
Missouri,29043,Christian County,34920,11131,46839
Missouri,29045,Clark County,2672,678,3394
Missouri,29047,Clay County,64605,59400,126569
Missouri,29049,Clinton County,7799,2896,10888
Missouri,29051,Cole County,26086,12694,39529
Missouri,29053,Cooper County,6272,2249,8693
Missouri,29055,Crawford County,8725,2113,10973
Missouri,29057,Dade County,3414,656,4119
Missouri,29059,Dallas County,6619,1380,8104
Missouri,29061,Daviess County,3102,746,3911
Missouri,29063,DeKalb County,3828,930,4843
Missouri,29065,Dent County,5987,1056,7142
Missouri,29067,Douglas County,5898,1016,7000
Missouri,29069,Dunklin County,8135,2200,10419
Missouri,29071,Franklin County,38058,14569,53685
Missouri,29073,Gasconade County,6222,1601,7923
Missouri,29075,Gentry County,2581,613,3237
Missouri,29077,Greene County,83630,55068,141800
Missouri,29079,Grundy County,3585,799,4437
Missouri,29081,Harrison County,3198,597,3826
Missouri,29083,Henry County,8027,2619,10788
Missouri,29085,Hickory County,3966,1056,5080
Missouri,29087,Holt County,1976,338,2343
Missouri,29089,Howard County,3553,1413,5092
Missouri,29091,Howell County,15181,3218,18650
Missouri,29093,Iron County,3596,945,4592
Missouri,29095,Jackson County,126535,199842,333063
Missouri,29097,Jasper County,37728,13549,52352
Missouri,29099,Jefferson County,77046,37523,116688
Missouri,29101,Johnson County,15489,6974,23123
Missouri,29103,Knox County,1486,340,1854
Missouri,29105,Laclede County,13762,2780,16793
Missouri,29107,Lafayette County,12273,4472,17055
Missouri,29109,Lawrence County,14426,3214,17905
Missouri,29111,Lewis County,3553,984,4609
Missouri,29113,Lincoln County,21848,6607,29018
Missouri,29115,Linn County,4363,1275,5726
Missouri,29117,Livingston County,5267,1410,6758
Missouri,29119,McDonald County,7465,1439,9053
Missouri,29121,Macon County,6076,1662,7836
Missouri,29123,Madison County,4584,1019,5676
Missouri,29125,Maries County,3892,814,4771
Missouri,29127,Marion County,9915,3202,13348
Missouri,29129,Mercer County,1541,222,1779
Missouri,29131,Miller County,10176,2038,12382
Missouri,29133,Mississippi County,3537,1178,4756
Missouri,29135,Moniteau County,5744,1308,7157
Missouri,29137,Monroe County,3477,936,4483
Missouri,29139,Montgomery County,4465,1208,5772
Missouri,29141,Morgan County,7442,1924,9487
Missouri,29143,New Madrid County,5447,1748,7250
Missouri,29145,Newton County,22120,5818,28405
Missouri,29147,Nodaway County,6865,2853,9893
Missouri,29149,Oregon County,3847,823,4739
Missouri,29151,Osage County,6425,1037,7539
Missouri,29153,Ozark County,4064,752,4864
Missouri,29155,Pemiscot County,4120,1560,5735
Missouri,29157,Perry County,7657,1664,9447
Missouri,29159,Pettis County,13854,4783,19097
Missouri,29161,Phelps County,13480,5637,19568
Missouri,29163,Pike County,5863,1717,7695
Missouri,29165,Platte County,28917,27179,57270
Missouri,29167,Polk County,11850,2885,15064
Missouri,29169,Pulaski County,10329,3740,14414
Missouri,29171,Putnam County,1984,361,2361
Missouri,29173,Ralls County,4396,1205,5662
Missouri,29175,Randolph County,8018,2485,10744
Missouri,29177,Ray County,8345,3109,11649
Missouri,29179,Reynolds County,2733,529,3298
Missouri,29181,Ripley County,4839,833,5717
Missouri,29183,St. Charles County,128389,89530,222017
Missouri,29185,St. Clair County,3932,988,4974
Missouri,29186,Ste. Genevieve County,6630,2713,9484
Missouri,29187,St. Francois County,20511,7044,28001
Missouri,29189,St. Louis County,199493,328151,536446
Missouri,29195,Saline County,6451,2904,9519
Missouri,29197,Schuyler County,1606,373,2003
Missouri,29199,Scotland County,1560,388,1984
Missouri,29201,Scott County,13769,3753,17719
Missouri,29203,Shannon County,3165,706,3906
Missouri,29205,Shelby County,2700,592,3350
Missouri,29207,Stoddard County,11484,1819,13426
Missouri,29209,Stone County,14800,3506,18483
Missouri,29211,Sullivan County,1974,478,2471
Missouri,29213,Taney County,20508,5339,26288
Missouri,29215,Texas County,9478,1716,11315
Missouri,29217,Vernon County,7155,1903,9185
Missouri,29219,Warren County,13222,4769,18375
Missouri,29221,Washington County,8047,1804,9976
Missouri,29223,Wayne County,4987,845,5878
Missouri,29225,Webster County,14880,3573,18779
Missouri,29227,Worth County,877,215,1107
Missouri,29229,Wright County,7453,1168,8739
Missouri,29510,St. Louis city,21474,110089,133867
