state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Nebraska,31001,Adams County,10085,4213,14653
Nebraska,31003,Antelope County,3093,452,3583
Nebraska,31005,Arthur County,260,21,285
Nebraska,31007,Banner County,362,43,411
Nebraska,31009,Blaine County,280,35,317
Nebraska,31011,Boone County,2653,499,3226
Nebraska,31013,Box Butte County,4002,1051,5200
Nebraska,31015,Boyd County,1010,135,1155
Nebraska,31017,Brown County,1470,191,1684
Nebraska,31019,Buffalo County,16640,6350,23711
Nebraska,31021,Burt County,2580,1063,3739
Nebraska,31023,Butler County,3542,873,4518
Nebraska,31025,Cass County,10121,4737,15326
Nebraska,31027,Cedar County,4174,725,5015
Nebraska,31029,Chase County,1740,226,2000
Nebraska,31031,Cherry County,2844,373,3269
Nebraska,31033,Cheyenne County,3813,855,4776
Nebraska,31035,Clay County,2848,632,3570
Nebraska,31037,Colfax County,2636,1025,3726
Nebraska,31039,Cuming County,3507,870,4459
Nebraska,31041,Custer County,5090,786,6010
Nebraska,31043,Dakota County,3926,2744,6817
Nebraska,31045,Dawes County,2931,1082,4151
Nebraska,31047,Dawson County,6524,2497,9191
Nebraska,31049,Deuel County,871,141,1034
Nebraska,31051,Dixon County,2335,651,3094
Nebraska,31053,Dodge County,10984,5544,16938
Nebraska,31055,Douglas County,119159,150350,276540
Nebraska,31057,Dundy County,883,105,1003
Nebraska,31059,Fillmore County,2359,693,3148
Nebraska,31061,Franklin County,1437,276,1728
Nebraska,31063,Frontier County,1229,189,1446
Nebraska,31065,Furnas County,2163,399,2602
Nebraska,31067,Gage County,7445,3385,11119
Nebraska,31069,Garden County,1016,161,1200
Nebraska,31071,Garfield County,933,133,1076
Nebraska,31073,Gosper County,893,215,1121
Nebraska,31075,Grant County,375,20,402
Nebraska,31077,Greeley County,1016,229,1259
Nebraska,31079,Hall County,16189,7681,24450
Nebraska,31081,Hamilton County,4309,1118,5566
Nebraska,31083,Harlan County,1615,282,1934
Nebraska,31085,Hayes County,494,34,536
Nebraska,31087,Hitchcock County,1264,175,1470
Nebraska,31089,Holt County,4769,686,5550
Nebraska,31091,Hooker County,376,59,442
Nebraska,31093,Howard County,2786,648,3511
Nebraska,31095,Jefferson County,2616,1016,3730
Nebraska,31097,Johnson County,1518,647,2233
Nebraska,31099,Kearney County,2822,701,3617
Nebraska,31101,Keith County,3544,763,4369
Nebraska,31103,Keya Paha County,476,49,530
Nebraska,31105,Kimball County,1563,268,1877
Nebraska,31107,Knox County,3721,905,4708
Nebraska,31109,Lancaster County,70092,82293,157215
Nebraska,31111,Lincoln County,13071,3692,17163
Nebraska,31113,Logan County,407,38,450
Nebraska,31115,Loup County,370,75,454
Nebraska,31117,McPherson County,275,17,302
Nebraska,31119,Madison County,11940,3478,15819
Nebraska,31121,Merrick County,3419,743,4282
Nebraska,31123,Morrill County,2113,386,2558
Nebraska,31125,Nance County,1437,359,1832
Nebraska,31127,Nemaha County,2428,921,3432
Nebraska,31129,Nuckolls County,1857,409,2305
Nebraska,31131,Otoe County,5649,2490,8355
Nebraska,31133,Pawnee County,1071,322,1429
Nebraska,31135,Perkins County,1321,199,1545
Nebraska,31137,Phelps County,4157,752,5021
Nebraska,31139,Pierce County,3462,480,4012
Nebraska,31141,Platte County,12186,3260,15721
Nebraska,31143,Polk County,2291,530,2887
Nebraska,31145,Red Willow County,4525,811,5470
Nebraska,31147,Richardson County,3073,996,4134
Nebraska,31149,Rock County,744,84,842
Nebraska,31151,Saline County,3631,1986,5780
Nebraska,31153,Sarpy County,51979,41206,96193
Nebraska,31155,Saunders County,9108,3331,12786
Nebraska,31157,Scotts Bluff County,10952,4196,15524
Nebraska,31159,Seward County,6490,2438,9199
Nebraska,31161,Sheridan County,2292,340,2684
Nebraska,31163,Sherman County,1322,343,1700
Nebraska,31165,Sioux County,642,72,731
Nebraska,31167,Stanton County,2561,532,3165
Nebraska,31169,Thayer County,2308,624,2989
Nebraska,31171,Thomas County,377,45,427
Nebraska,31173,Thurston County,1180,1122,2379
Nebraska,31175,Valley County,1901,412,2344
Nebraska,31177,Washington County,8583,3554,12467
Nebraska,31179,Wayne County,3055,1022,4218
Nebraska,31181,Webster County,1511,335,1876
Nebraska,31183,Wheeler County,438,59,503
Nebraska,31185,York County,5337,1630,7161
