state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
New Jersey,34001,Atlantic County,64438,73808,140441
New Jersey,34003,Bergen County,204417,285967,497460
New Jersey,34005,Burlington County,103345,154595,262650
New Jersey,34007,Camden County,86207,175065,265599
New Jersey,34009,Cape May County,33158,23941,57933
New Jersey,34011,Cumberland County,28952,32742,62575
New Jersey,34013,Essex County,75475,266820,345311
New Jersey,34015,Gloucester County,83340,86702,173453
New Jersey,34017,Hudson County,65698,181452,250458
New Jersey,34019,Hunterdon County,43153,39457,84673
New Jersey,34021,Mercer County,51641,122532,177223
New Jersey,34023,Middlesex County,143467,226250,375692
New Jersey,34025,Monmouth County,191808,181291,378390
New Jersey,34027,Morris County,141134,153881,300917
New Jersey,34029,Ocean County,217740,119456,342746
New Jersey,34031,Passaic County,92009,129097,224330
New Jersey,34033,Salem County,18827,14479,34042
New Jersey,34035,Somerset County,71996,111173,186891
New Jersey,34037,Sussex County,51698,34481,88352
New Jersey,34039,Union County,80002,170245,254041
New Jersey,34041,Warren County,34769,24901,61057
