state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
New Mexico,35001,Bernalillo County,116135,193757,317590
New Mexico,35003,Catron County,1698,595,2326
New Mexico,35005,Chaves County,15656,6381,22443
New Mexico,35006,Cibola County,3975,4745,8903
New Mexico,35007,Colfax County,3271,2611,6016
New Mexico,35009,Curry County,10444,4307,15101
New Mexico,35011,De Baca County,656,231,901
New Mexico,35013,Doña Ana County,32802,47957,82641
New Mexico,35015,Eddy County,17454,5424,23222
New Mexico,35017,Grant County,6553,7590,14435
New Mexico,35019,Guadalupe County,917,1234,2189
New Mexico,35021,Harding County,319,179,505
New Mexico,35023,Hidalgo County,1120,823,1974
New Mexico,35025,Lea County,16531,4061,20918
New Mexico,35027,Lincoln County,6942,3194,10306
New Mexico,35028,Los Alamos County,4278,7554,12293
New Mexico,35029,Luna County,4408,3563,8103
New Mexico,35031,McKinley County,7801,18029,26486
New Mexico,35033,Mora County,903,1745,2686
New Mexico,35035,Otero County,14521,8485,23571
New Mexico,35037,Quay County,2634,1170,3873
New Mexico,35039,Rio Arriba County,5408,10990,16628
New Mexico,35041,Roosevelt County,4634,1802,6608
New Mexico,35043,Sandoval County,34174,40588,76562
New Mexico,35045,San Juan County,32874,18083,52294
New Mexico,35047,San Miguel County,3421,7888,11531
New Mexico,35049,Santa Fe County,18329,62530,82227
New Mexico,35051,Sierra County,3542,2265,5945
New Mexico,35053,Socorro County,3255,3722,7160
New Mexico,35055,Taos County,3715,13121,17181
New Mexico,35057,Torrance County,4772,2344,7281
New Mexico,35059,Union County,1388,383,1789
New Mexico,35061,Valencia County,17364,14263,32277
