state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
New York,36001,Albany County,51081,99474,154101
New York,36003,Allegany County,14135,6048,20782
New York,36005,Bronx County,67740,355374,425715
New York,36007,Broome County,43800,47010,92794
New York,36009,Cattaraugus County,22155,11879,34845
New York,36011,Cayuga County,19512,16149,36421
New York,36013,Chautauqua County,34853,23087,59304
New York,36015,Chemung County,21922,16636,39410
New York,36017,Chenango County,13482,8290,22282
New York,36019,Clinton County,16514,18364,35437
New York,36021,Columbia County,14464,20386,35522
New York,36023,Cortland County,10789,10369,21678
New York,36025,Delaware County,13387,9143,23025
New York,36027,Dutchess County,66872,81443,151122
New York,36029,Erie County,197527,267174,473021
New York,36031,Essex County,8976,9947,19259
New York,36033,Franklin County,9668,9253,19268
New York,36035,Fulton County,15378,7931,23744
New York,36037,Genesee County,18876,9625,29217
New York,36039,Greene County,14271,10346,25194
New York,36041,Hamilton County,2225,1178,3460
New York,36043,Herkimer County,18870,9937,29319
New York,36045,Jefferson County,25629,17307,43848
New York,36047,Kings County,202772,703310,913246
New York,36049,Lewis County,8894,3824,12944
New York,36051,Livingston County,18182,12477,31401
New York,36053,Madison County,18408,14807,34038
New York,36055,Monroe County,145661,225746,380983
New York,36057,Montgomery County,12745,7977,21134
New York,36059,Nassau County,326716,396504,732756
New York,36061,New York County,85185,603040,694904
New York,36063,Niagara County,56068,46029,104080
New York,36065,Oneida County,57180,41567,100746
New York,36067,Onondaga County,90619,138894,234735
New York,36069,Ontario County,29039,29025,59674
New York,36071,Orange County,84996,84684,172099
New York,36073,Orleans County,12126,5587,18154
New York,36075,Oswego County,32138,21143,54491
New York,36077,Otsego County,14382,12975,28008
New York,36079,Putnam County,29283,24953,54989
New York,36081,Queens County,212665,569038,787860
New York,36083,Rensselaer County,36500,40969,79409
New York,36085,Richmond County,123320,90997,216153
New York,36087,Rockland County,73186,75802,150369
New York,36089,St. Lawrence County,24608,19361,44907
New York,36091,Saratoga County,61305,68471,132655
New York,36093,Schenectady County,30741,42465,74826
New York,36095,Schoharie County,9903,5345,15710
New York,36097,Schuyler County,5621,3903,9766
New York,36099,Seneca County,8329,6914,15630
New York,36101,Steuben County,29474,15790,46178
New York,36103,Suffolk County,381253,381021,771541
New York,36105,Sullivan County,18665,15489,34647
New York,36107,Tioga County,14791,9634,25044
New York,36109,Tompkins County,11096,33619,45735
New York,36111,Ulster County,37590,57970,97420
New York,36113,Warren County,17699,17642,36131
New York,36115,Washington County,15941,11565,28138
New York,36117,Wayne County,26204,17456,44714
New York,36119,Westchester County,144713,312371,462122
New York,36121,Wyoming County,13898,5073,19399
New York,36123,Yates County,6208,4219,10701
