state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
North Carolina,37001,Alamance County,46056,38825,86091
North Carolina,37003,Alexander County,15888,4145,20236
North Carolina,37005,Alleghany County,4527,1486,6076
North Carolina,37007,Anson County,5321,5789,11194
North Carolina,37009,Ashe County,11451,4164,15814
North Carolina,37011,Avery County,7172,2191,9458
North Carolina,37013,Beaufort County,16437,9633,26315
North Carolina,37015,Bertie County,3817,5939,9815
North Carolina,37017,Bladen County,9676,7326,17125
North Carolina,37019,Brunswick County,55850,33310,90175
North Carolina,37021,Buncombe County,62412,96515,161569
North Carolina,37023,Burke County,31019,13118,44602
North Carolina,37025,Cabarrus County,63237,52162,117227
North Carolina,37027,Caldwell County,32119,10245,42829
North Carolina,37029,Camden County,4312,1537,5953
North Carolina,37031,Carteret County,30028,12093,42695
North Carolina,37033,Caswell County,7089,4860,12051
North Carolina,37035,Catawba County,56588,25689,83425
North Carolina,37037,Chatham County,21186,26787,48599
North Carolina,37039,Cherokee County,12628,3583,16423
North Carolina,37041,Chowan County,4471,3247,7784
North Carolina,37043,Clay County,5112,1699,6893
North Carolina,37045,Cleveland County,33798,16955,51308
North Carolina,37047,Columbus County,16832,9446,26446
North Carolina,37049,Craven County,31032,21148,53065
North Carolina,37051,Cumberland County,60032,84469,147150
North Carolina,37053,Currituck County,11657,4195,16147
North Carolina,37055,Dare County,13938,9936,24232
North Carolina,37057,Davidson County,64658,22636,88514
North Carolina,37059,Davie County,18228,6713,25311
North Carolina,37061,Duplin County,13793,8767,22715
North Carolina,37063,Durham County,32459,144688,179914
North Carolina,37065,Edgecombe County,9206,16089,25477
North Carolina,37067,Forsyth County,85064,113033,201270
North Carolina,37069,Franklin County,20901,15879,37351
North Carolina,37071,Gaston County,73033,40959,115498
North Carolina,37073,Gates County,3367,2546,5971
North Carolina,37075,Graham County,3710,905,4665
North Carolina,37077,Granville County,16647,14565,31598
North Carolina,37079,Greene County,4874,3832,8753
North Carolina,37081,Guilford County,107294,173086,284486
North Carolina,37083,Halifax County,10080,15545,25759
North Carolina,37085,Harnett County,35177,22093,58293
North Carolina,37087,Haywood County,22834,13144,36542
North Carolina,37089,Henderson County,40032,27211,68371
North Carolina,37091,Hertford County,3479,7097,10634
North Carolina,37093,Hoke County,9453,11804,21639
North Carolina,37095,Hyde County,1418,1046,2492
North Carolina,37097,Iredell County,67010,33888,102371
North Carolina,37099,Jackson County,11356,9591,21428
North Carolina,37101,Johnston County,68353,41257,111357
North Carolina,37103,Jones County,3280,2197,5525
North Carolina,37105,Lee County,16469,12143,29008
North Carolina,37107,Lenoir County,14590,13605,28409
North Carolina,37109,Lincoln County,36341,13274,50217
North Carolina,37111,McDowell County,16883,5832,23003
North Carolina,37113,Macon County,14211,6230,20743
North Carolina,37115,Madison County,7979,4901,13076
North Carolina,37117,Martin County,6532,5911,12540
North Carolina,37119,Mecklenburg County,179211,378107,567053
North Carolina,37121,Mitchell County,7090,1867,9041
North Carolina,37123,Montgomery County,8411,4327,12849
North Carolina,37125,Moore County,36764,20779,58339
North Carolina,37127,Nash County,25827,25947,52271
North Carolina,37129,New Hanover County,63331,66138,131830
North Carolina,37131,Northampton County,3989,6069,10109
North Carolina,37133,Onslow County,46078,24266,72235
North Carolina,37135,Orange County,20176,63594,84997
North Carolina,37137,Pamlico County,4849,2713,7631
North Carolina,37139,Pasquotank County,9770,9832,19897
North Carolina,37141,Pender County,21956,11723,34169
North Carolina,37143,Perquimans County,4903,2492,7484
North Carolina,37145,Person County,13184,8465,21894
North Carolina,37147,Pitt County,38982,47252,87573
North Carolina,37149,Polk County,7689,4518,12358
North Carolina,37151,Randolph County,56894,15618,73316
North Carolina,37153,Richmond County,11830,8754,20763
North Carolina,37155,Robeson County,27806,19020,47188
North Carolina,37157,Rockingham County,31301,15992,47809
North Carolina,37159,Rowan County,49297,23114,73408
North Carolina,37161,Rutherford County,24891,9135,34429
North Carolina,37163,Sampson County,17411,10966,28618
North Carolina,37165,Scotland County,7473,7186,14775
North Carolina,37167,Stanly County,25458,8129,33939
North Carolina,37169,Stokes County,20142,5286,25701
North Carolina,37171,Surry County,27538,8721,36638
North Carolina,37173,Swain County,4161,2780,7068
North Carolina,37175,Transylvania County,11636,8444,20404
North Carolina,37177,Tyrrell County,1044,758,1817
North Carolina,37179,Union County,80382,48725,131011
North Carolina,37181,Vance County,8391,12431,20999
North Carolina,37183,Wake County,226197,393336,631830
North Carolina,37185,Warren County,3752,6400,10293
North Carolina,37187,Washington County,2781,3396,6205
North Carolina,37189,Watauga County,14451,17122,32220
North Carolina,37191,Wayne County,30709,24215,55537
North Carolina,37193,Wilkes County,27592,7511,35466
North Carolina,37195,Wilson County,19581,20754,40735
North Carolina,37197,Yadkin County,15933,3763,19923
North Carolina,37199,Yancey County,7516,3688,11352
