state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
North Dakota,38001,Adams County,981,258,1269
North Dakota,38003,Barnes County,3568,1820,5565
North Dakota,38005,Benson County,1094,822,1961
North Dakota,38007,Billings County,541,72,635
North Dakota,38009,Bottineau County,2575,821,3471
North Dakota,38011,Bowman County,1395,228,1657
North Dakota,38013,Burke County,994,137,1155
North Dakota,38015,Burleigh County,34744,14348,50753
North Dakota,38017,Cass County,42619,40311,86053
North Dakota,38019,Cavalier County,1499,474,2020
North Dakota,38021,Dickey County,1742,608,2424
North Dakota,38023,Divide County,904,265,1202
North Dakota,38025,Dunn County,1951,342,2338
North Dakota,38027,Eddy County,854,383,1261
North Dakota,38029,Emmons County,1738,237,2009
North Dakota,38031,Foster County,1362,373,1778
North Dakota,38033,Golden Valley County,871,137,1026
North Dakota,38035,Grand Forks County,16987,12880,30970
North Dakota,38037,Grant County,1145,207,1381
North Dakota,38039,Griggs County,907,308,1250
North Dakota,38041,Hettinger County,1091,196,1312
North Dakota,38043,Kidder County,1215,221,1460
North Dakota,38045,LaMoure County,1645,527,2219
North Dakota,38047,Logan County,930,128,1076
North Dakota,38049,McHenry County,2364,564,3003
North Dakota,38051,McIntosh County,1153,261,1455
North Dakota,38053,McKenzie County,4482,814,5419
North Dakota,38055,McLean County,4198,1230,5536
North Dakota,38057,Mercer County,3856,704,4675
North Dakota,38059,Morton County,12243,3872,16619
North Dakota,38061,Mountrail County,2824,1256,4165
North Dakota,38063,Nelson County,1141,586,1777
North Dakota,38065,Oliver County,918,129,1066
North Dakota,38067,Pembina County,2460,786,3331
North Dakota,38069,Pierce County,1585,497,2128
North Dakota,38071,Ramsey County,3577,1639,5372
North Dakota,38073,Ransom County,1418,945,2454
North Dakota,38075,Renville County,1065,220,1319
North Dakota,38077,Richland County,5072,2510,7812
North Dakota,38079,Rolette County,1257,2482,3804
North Dakota,38081,Sargent County,1266,738,2070
North Dakota,38083,Sheridan County,688,104,812
North Dakota,38085,Sioux County,258,804,1186
North Dakota,38087,Slope County,380,44,427
North Dakota,38089,Stark County,12110,2499,15050
North Dakota,38091,Steele County,652,392,1088
North Dakota,38093,Stutsman County,6994,2676,9959
North Dakota,38095,Towner County,830,317,1174
North Dakota,38097,Traill County,2522,1493,4136
North Dakota,38099,Walsh County,3324,1333,4783
North Dakota,38101,Ward County,19974,7293,28246
North Dakota,38103,Wells County,1893,442,2374
North Dakota,38105,Williams County,11739,2169,14334
