state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Ohio,39001,Adams County,9870,2156,12145
Ohio,39003,Allen County,33116,14149,48006
Ohio,39005,Ashland County,19407,6541,26405
Ohio,39007,Ashtabula County,26890,16497,44147
Ohio,39009,Athens County,10862,14772,26059
Ohio,39011,Auglaize County,20798,4651,25777
Ohio,39013,Belmont County,23560,9138,33088
Ohio,39015,Brown County,16480,4380,21096
Ohio,39017,Butler County,114392,69613,186737
Ohio,39019,Carroll County,10745,3251,14212
Ohio,39021,Champaign County,14589,5062,19972
Ohio,39023,Clark County,39032,24076,64212
Ohio,39025,Clermont County,74570,34092,110480
Ohio,39027,Clinton County,15488,4697,20527
Ohio,39029,Columbiana County,35726,13359,49860
Ohio,39031,Coshocton County,12325,4125,16739
Ohio,39033,Crawford County,15436,4916,20686
Ohio,39035,Cuyahoga County,202699,416176,625670
Ohio,39037,Darke County,22004,4731,27134
Ohio,39039,Defiance County,13038,5981,19381
Ohio,39041,Delaware County,66356,57735,126070
Ohio,39043,Erie County,22160,17493,40335
Ohio,39045,Fairfield County,50797,31224,83311
Ohio,39047,Fayette County,9473,2975,12612
Ohio,39049,Franklin County,211237,409144,630577
Ohio,39051,Fulton County,15731,6664,22770
Ohio,39053,Gallia County,10645,2990,13799
Ohio,39055,Geauga County,34143,21201,56021
Ohio,39057,Greene County,52072,34798,88643
Ohio,39059,Guernsey County,13407,4577,18230
Ohio,39061,Hamilton County,177886,246266,430929
Ohio,39063,Hancock County,26310,11757,38771
Ohio,39065,Hardin County,9949,3062,13247
Ohio,39067,Harrison County,5792,1768,7655
Ohio,39069,Henry County,10479,4062,14764
Ohio,39071,Highland County,15678,3799,19676
Ohio,39073,Hocking County,9737,3880,13824
Ohio,39075,Holmes County,10796,1994,12947
Ohio,39077,Huron County,18956,7759,27190
Ohio,39079,Jackson County,11309,3311,14794
Ohio,39081,Jefferson County,22828,10018,33362
Ohio,39083,Knox County,22340,8589,31398
Ohio,39085,Lake County,73278,55514,130509
Ohio,39087,Lawrence County,20306,7489,28127
Ohio,39089,Licking County,59514,33055,94210
Ohio,39091,Logan County,17964,5055,23368
Ohio,39093,Lorain County,79520,75667,157437
Ohio,39095,Lucas County,81763,115411,200623
Ohio,39097,Madison County,13835,5698,19855
Ohio,39099,Mahoning County,59903,57641,118966
Ohio,39101,Marion County,19023,8269,27818
Ohio,39103,Medina County,64598,39800,105825
Ohio,39105,Meigs County,8316,2492,10951
Ohio,39107,Mercer County,19452,4030,23761
Ohio,39109,Miami County,41371,15663,57972
Ohio,39111,Monroe County,5463,1605,7148
Ohio,39113,Montgomery County,129034,135064,268505
Ohio,39115,Morgan County,5041,1725,6847
Ohio,39117,Morrow County,14077,4048,18457
Ohio,39119,Muskingum County,27867,11971,40465
Ohio,39121,Noble County,5135,1170,6343
Ohio,39123,Ottawa County,14628,9008,24007
Ohio,39125,Paulding County,7086,2213,9467
Ohio,39127,Perry County,12357,4098,16675
Ohio,39129,Pickaway County,20593,7304,28271
Ohio,39131,Pike County,9157,3110,12412
Ohio,39133,Portage County,45990,35661,82872
Ohio,39135,Preble County,17022,4493,21809
Ohio,39137,Putnam County,16412,3195,19921
Ohio,39139,Richland County,41472,17640,59975
Ohio,39141,Ross County,22278,10557,33299
Ohio,39143,Sandusky County,18896,10596,30074
Ohio,39145,Scioto County,22609,9080,32047
Ohio,39147,Seneca County,17086,8266,25810
Ohio,39149,Shelby County,20422,4465,25258
Ohio,39151,Stark County,111097,75904,189879
Ohio,39153,Summit County,124833,151668,280473
Ohio,39155,Trumbull County,55194,44519,101001
Ohio,39157,Tuscarawas County,30458,12889,44015
Ohio,39159,Union County,21669,11141,33445
Ohio,39161,Van Wert County,11650,3067,14965
Ohio,39163,Vinton County,4632,1331,6030
Ohio,39165,Warren County,87988,46069,136100
Ohio,39167,Washington County,22307,9243,32031
Ohio,39169,Wayne County,36759,16660,54283
Ohio,39171,Williams County,13452,4842,18651
Ohio,39173,Wood County,35757,30617,67597
Ohio,39175,Wyandot County,8462,2733,11390
