state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Oklahoma,40001,Adair County,5585,1387,7108
Oklahoma,40003,Alfalfa County,1978,232,2262
Oklahoma,40005,Atoka County,4557,765,5389
Oklahoma,40007,Beaver County,1968,190,2178
Oklahoma,40009,Beckham County,6767,1048,7948
Oklahoma,40011,Blaine County,3136,688,3901
Oklahoma,40013,Bryan County,12344,3323,15976
Oklahoma,40015,Caddo County,7013,2670,9859
Oklahoma,40017,Canadian County,43550,16742,61940
Oklahoma,40019,Carter County,14699,4470,19479
Oklahoma,40021,Cherokee County,11223,6027,17714
Oklahoma,40023,Choctaw County,4698,1082,5832
Oklahoma,40025,Cimarron County,970,70,1054
Oklahoma,40027,Cleveland County,66677,49827,119778
Oklahoma,40029,Coal County,2091,374,2524
Oklahoma,40031,Comanche County,20905,13747,35631
Oklahoma,40033,Cotton County,2117,393,2572
Oklahoma,40035,Craig County,4686,1217,6032
Oklahoma,40037,Creek County,23294,6577,30505
Oklahoma,40039,Custer County,8060,2369,10691
Oklahoma,40041,Delaware County,13557,3472,17245
Oklahoma,40043,Dewey County,2124,214,2359
Oklahoma,40045,Ellis County,1688,162,1873
Oklahoma,40047,Garfield County,16970,4919,22430
Oklahoma,40049,Garvin County,8878,1865,10922
Oklahoma,40051,Grady County,18538,4144,23101
Oklahoma,40053,Grant County,1916,280,2226
Oklahoma,40055,Greer County,1605,328,1973
Oklahoma,40057,Harmon County,747,177,933
Oklahoma,40059,Harper County,1327,136,1487
Oklahoma,40061,Haskell County,4165,783,5014
Oklahoma,40063,Hughes County,3875,919,4857
Oklahoma,40065,Jackson County,6392,1646,8221
Oklahoma,40067,Jefferson County,2026,319,2385
Oklahoma,40069,Johnston County,3441,738,4251
Oklahoma,40071,Kay County,12834,4040,17249
Oklahoma,40073,Kingfisher County,5521,854,6465
Oklahoma,40075,Kiowa County,2673,699,3427
Oklahoma,40077,Latimer County,3437,762,4249
Oklahoma,40079,Le Flore County,15213,3299,18805
Oklahoma,40081,Lincoln County,12013,2609,14888
Oklahoma,40083,Logan County,15608,5455,21574
Oklahoma,40085,Love County,3305,711,4076
Oklahoma,40087,McClain County,15295,3582,19236
Oklahoma,40089,McCurtain County,9485,1858,11467
Oklahoma,40091,McIntosh County,6172,2031,8335
Oklahoma,40093,Major County,3084,320,3467
Oklahoma,40095,Marshall County,4891,1100,6064
Oklahoma,40097,Mayes County,12749,3581,16626
Oklahoma,40099,Murray County,4612,1156,5894
Oklahoma,40101,Muskogee County,16526,8027,25081
Oklahoma,40103,Noble County,3821,1003,4938
Oklahoma,40105,Nowata County,3610,712,4391
Oklahoma,40107,Okfuskee County,3058,896,4038
Oklahoma,40109,Oklahoma County,145050,141724,294740
Oklahoma,40111,Okmulgee County,9668,4357,14313
Oklahoma,40113,Osage County,14121,6002,20538
Oklahoma,40115,Ottawa County,8545,2686,11438
Oklahoma,40117,Pawnee County,5267,1363,6786
Oklahoma,40119,Payne County,17813,10904,29643
Oklahoma,40121,Pittsburg County,13851,3768,17924
Oklahoma,40123,Pontotoc County,10805,4117,15320
Oklahoma,40125,Pottawatomie County,20240,7275,28185
Oklahoma,40127,Pushmataha County,4016,668,4739
Oklahoma,40129,Roger Mills County,1629,168,1834
Oklahoma,40131,Rogers County,34031,9589,44553
Oklahoma,40133,Seminole County,6011,2150,8337
Oklahoma,40135,Sequoyah County,12113,3035,15386
Oklahoma,40137,Stephens County,15560,3154,19057
Oklahoma,40139,Texas County,4505,894,5521
Oklahoma,40141,Tillman County,2076,597,2708
Oklahoma,40143,Tulsa County,150574,108996,266678
Oklahoma,40145,Wagoner County,26165,8464,35338
Oklahoma,40147,Washington County,17076,5790,23501
Oklahoma,40149,Washita County,4086,598,4777
Oklahoma,40151,Woods County,2993,591,3678
Oklahoma,40153,Woodward County,6611,1005,7785
