state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Pennsylvania,42001,Adams County,37523,18207,56714
Pennsylvania,42003,Allegheny County,282913,430759,724800
Pennsylvania,42005,Armstrong County,27489,8457,36370
Pennsylvania,42007,Beaver County,54759,38122,94122
Pennsylvania,42009,Bedford County,23025,4367,27574
Pennsylvania,42011,Berks County,109736,92895,205540
Pennsylvania,42013,Blair County,45306,17636,63595
Pennsylvania,42015,Bradford County,21600,8046,30159
Pennsylvania,42017,Bucks County,187367,204712,396234
Pennsylvania,42019,Butler County,74359,37508,113305
Pennsylvania,42021,Cambria County,48085,21730,70574
Pennsylvania,42023,Cameron County,1771,634,2434
Pennsylvania,42025,Carbon County,21984,11212,33629
Pennsylvania,42027,Centre County,36372,40055,77493
Pennsylvania,42029,Chester County,128565,182372,315753
Pennsylvania,42031,Clarion County,14578,4678,19493
Pennsylvania,42033,Clearfield County,29203,9673,39496
Pennsylvania,42035,Clinton County,11902,5502,17625
Pennsylvania,42037,Columbia County,20098,10532,31171
Pennsylvania,42039,Crawford County,28559,12924,42004
Pennsylvania,42041,Cumberland County,77212,62245,141595
Pennsylvania,42043,Dauphin County,66408,78983,147368
Pennsylvania,42045,Delaware County,118532,206423,329006
Pennsylvania,42047,Elk County,12140,4522,16906
Pennsylvania,42049,Erie County,66869,68286,137083
Pennsylvania,42051,Fayette County,41227,20444,62139
Pennsylvania,42053,Forest County,1882,728,2646
Pennsylvania,42055,Franklin County,57245,22422,80783
Pennsylvania,42057,Fulton County,6824,1085,7977
Pennsylvania,42059,Greene County,12579,4911,17669
Pennsylvania,42061,Huntingdon County,17061,5445,22792
Pennsylvania,42063,Indiana County,28089,12634,41198
Pennsylvania,42065,Jefferson County,17960,4527,22824
Pennsylvania,42067,Juniata County,9649,2253,12043
Pennsylvania,42069,Lackawanna County,52334,61991,115410
Pennsylvania,42071,Lancaster County,160209,115847,281375
Pennsylvania,42073,Lawrence County,29597,15978,46076
Pennsylvania,42075,Lebanon County,46731,23932,71858
Pennsylvania,42077,Lehigh County,84259,98288,184713
Pennsylvania,42079,Luzerne County,86929,64873,153321
Pennsylvania,42081,Lycoming County,41462,16971,59254
Pennsylvania,42083,McKean County,14083,5098,19466
Pennsylvania,42085,Mercer County,36143,21067,57954
Pennsylvania,42087,Mifflin County,16670,4603,21502
Pennsylvania,42089,Monroe County,38726,44060,83829
Pennsylvania,42091,Montgomery County,185460,319511,510157
Pennsylvania,42093,Montour County,5844,3771,9817
Pennsylvania,42095,Northampton County,83854,85087,171399
Pennsylvania,42097,Northumberland County,28952,12677,42283
Pennsylvania,42099,Perry County,18293,5950,24652
Pennsylvania,42101,Philadelphia County,132740,603790,741377
Pennsylvania,42103,Pike County,19213,13019,32554
Pennsylvania,42105,Potter County,7239,1726,9064
Pennsylvania,42107,Schuylkill County,48871,20727,70603
Pennsylvania,42109,Snyder County,13983,4910,19140
Pennsylvania,42111,Somerset County,31466,8654,40543
Pennsylvania,42113,Sullivan County,2619,921,3595
Pennsylvania,42115,Susquehanna County,15207,6236,21752
Pennsylvania,42117,Tioga County,15742,4955,21075
Pennsylvania,42119,Union County,12356,7475,20115
Pennsylvania,42121,Venango County,18569,7585,26528
Pennsylvania,42123,Warren County,14237,6066,20650
Pennsylvania,42125,Washington County,72080,45088,118478
Pennsylvania,42127,Wayne County,18637,9191,28089
Pennsylvania,42129,Westmoreland County,130218,72129,205183
Pennsylvania,42131,Wyoming County,9936,4704,14858
Pennsylvania,42133,York County,146733,88114,238471
