state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
South Carolina,45001,Abbeville County,8215,4101,12433
South Carolina,45003,Aiken County,51589,32275,85185
South Carolina,45005,Allendale County,835,2718,3593
South Carolina,45007,Anderson County,67565,27169,96093
South Carolina,45009,Bamberg County,2417,4010,6482
South Carolina,45011,Barnwell County,5492,4720,10321
South Carolina,45013,Beaufort County,53194,43419,97835
South Carolina,45015,Berkeley County,57397,45223,104458
South Carolina,45017,Calhoun County,4305,3905,8291
South Carolina,45019,Charleston County,93297,121485,218857
South Carolina,45021,Cherokee County,18043,6983,25270
South Carolina,45023,Chester County,8660,6941,15757
South Carolina,45025,Chesterfield County,11297,7431,18876
South Carolina,45027,Clarendon County,8361,8250,16733
South Carolina,45029,Colleton County,10440,8602,19283
South Carolina,45031,Darlington County,16832,15220,32417
South Carolina,45033,Dillon County,6582,6436,13101
South Carolina,45035,Dorchester County,41913,33824,77278
South Carolina,45037,Edgefield County,8184,4953,13304
South Carolina,45039,Fairfield County,4625,7382,12136
South Carolina,45041,Florence County,32615,31153,64510
South Carolina,45043,Georgetown County,20487,15822,36668
South Carolina,45045,Greenville County,150021,103030,258155
South Carolina,45047,Greenwood County,19431,12145,32006
South Carolina,45049,Hampton County,3906,5323,9305
South Carolina,45051,Horry County,118821,59180,179744
South Carolina,45053,Jasper County,7078,7185,14394
South Carolina,45055,Kershaw County,20471,12699,33629
South Carolina,45057,Lancaster County,30312,18937,49868
South Carolina,45059,Laurens County,20004,10159,30488
South Carolina,45061,Lee County,3008,5329,8431
South Carolina,45063,Lexington County,92817,49301,144568
South Carolina,45065,McCormick County,2958,2687,5697
South Carolina,45067,Marion County,5711,8872,14704
South Carolina,45069,Marlboro County,5044,6290,11446
South Carolina,45071,Newberry County,11443,6958,18631
South Carolina,45073,Oconee County,29698,10414,40668
South Carolina,45075,Orangeburg County,13603,27295,41205
South Carolina,45077,Pickens County,42907,13645,57546
South Carolina,45079,Richland County,58313,132570,193822
South Carolina,45081,Saluda County,6210,2963,9274
South Carolina,45083,Spartanburg County,93560,52926,148655
South Carolina,45085,Sumter County,21000,27379,48920
South Carolina,45087,Union County,8183,4935,13257
South Carolina,45089,Williamsburg County,5532,10289,15985
South Carolina,45091,York County,82727,59008,144050
