state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
South Dakota,46003,Aurora County,1052,317,1405
South Dakota,46005,Beadle County,4808,2107,7081
South Dakota,46007,Bennett County,694,466,1183
South Dakota,46009,Bon Homme County,2235,721,3001
South Dakota,46011,Brookings County,8000,6110,14567
South Dakota,46013,Brown County,10580,6538,17547
South Dakota,46015,Brule County,1750,673,2490
South Dakota,46017,Buffalo County,183,352,549
South Dakota,46019,Butte County,3731,939,4802
South Dakota,46021,Campbell County,747,117,873
South Dakota,46023,Charles Mix County,2552,1177,3783
South Dakota,46025,Clark County,1373,437,1850
South Dakota,46027,Clay County,2456,3083,5698
South Dakota,46029,Codington County,8958,3837,13161
South Dakota,46031,Corson County,647,622,1283
South Dakota,46033,Custer County,3852,1522,5494
South Dakota,46035,Davison County,5613,2648,8454
South Dakota,46037,Day County,1869,1052,2964
South Dakota,46039,Deuel County,1699,609,2350
South Dakota,46041,Dewey County,790,1131,1966
South Dakota,46043,Douglas County,1468,216,1707
South Dakota,46045,Edmunds County,1538,417,1985
South Dakota,46047,Fall River County,2878,1053,4042
South Dakota,46049,Faulk County,964,198,1182
South Dakota,46051,Grant County,2618,1056,3745
South Dakota,46053,Gregory County,1771,455,2258
South Dakota,46055,Haakon County,1026,105,1137
South Dakota,46057,Hamlin County,2372,647,3083
South Dakota,46059,Hand County,1433,373,1836
South Dakota,46061,Hanson County,1793,557,2388
South Dakota,46063,Harding County,748,49,813
South Dakota,46065,Hughes County,5522,2953,8723
South Dakota,46067,Hutchinson County,2944,762,3767
South Dakota,46069,Hyde County,564,136,710
South Dakota,46071,Jackson County,738,359,1115
South Dakota,46073,Jerauld County,721,270,1006
South Dakota,46075,Jones County,498,90,599
South Dakota,46077,Kingsbury County,1904,819,2779
South Dakota,46079,Lake County,3681,2068,5873
South Dakota,46081,Lawrence County,8753,4537,13828
South Dakota,46083,Lincoln County,19617,11981,32396
South Dakota,46085,Lyman County,1042,525,1597
South Dakota,46087,McCook County,2068,769,2900
South Dakota,46089,McPherson County,1075,222,1324
South Dakota,46091,Marshall County,1287,858,2178
South Dakota,46093,Meade County,9875,3285,13670
South Dakota,46095,Mellette County,449,298,769
South Dakota,46097,Miner County,787,320,1138
South Dakota,46099,Minnehaha County,49249,40482,92326
South Dakota,46101,Moody County,1951,1179,3206
South Dakota,46102,Oglala Lakota County,297,2829,3200
South Dakota,46103,Pennington County,35063,20606,57518
South Dakota,46105,Perkins County,1401,239,1669
South Dakota,46107,Potter County,1139,227,1380
South Dakota,46109,Roberts County,2404,1828,4307
South Dakota,46111,Sanborn County,905,257,1185
South Dakota,46115,Spink County,2104,998,3163
South Dakota,46117,Stanley County,1203,421,1652
South Dakota,46119,Sully County,726,185,930
South Dakota,46121,Todd County,532,1963,2539
South Dakota,46123,Tripp County,2161,495,2696
South Dakota,46125,Turner County,3290,1139,4548
South Dakota,46127,Union County,5944,2725,8855
South Dakota,46129,Walworth County,1966,565,2580
South Dakota,46135,Yankton County,6581,4016,10900
South Dakota,46137,Ziebach County,404,481,906
