state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Tennessee,47001,Anderson County,23184,11741,35570
Tennessee,47003,Bedford County,14354,4453,19088
Tennessee,47005,Benton County,5668,1529,7260
Tennessee,47007,Bledsoe County,4725,971,5758
Tennessee,47009,Blount County,47369,17932,66609
Tennessee,47011,Bradley County,35204,9851,45865
Tennessee,47013,Campbell County,12331,2441,14933
Tennessee,47015,Cannon County,5190,1261,6557
Tennessee,47017,Carroll County,9205,2559,11905
Tennessee,47019,Carter County,19584,4529,24492
Tennessee,47021,Cheatham County,14438,5514,20260
Tennessee,47023,Chester County,5952,1412,7584
Tennessee,47025,Claiborne County,10604,2202,12945
Tennessee,47027,Clay County,2733,735,3506
Tennessee,47029,Cocke County,12162,2533,14859
Tennessee,47031,Coffee County,17883,5705,24282
Tennessee,47033,Crockett County,4673,1382,6114
Tennessee,47035,Cumberland County,25168,6728,32279
Tennessee,47037,Davidson County,100218,199703,309658
Tennessee,47039,Decatur County,4229,904,5241
Tennessee,47041,DeKalb County,6672,1750,8513
Tennessee,47043,Dickson County,17643,6106,24323
Tennessee,47045,Dyer County,11768,3158,15079
Tennessee,47047,Fayette County,15690,7027,22984
Tennessee,47049,Fentress County,7441,1214,8729
Tennessee,47051,Franklin County,13987,4864,19132
Tennessee,47053,Gibson County,16259,5771,22335
Tennessee,47055,Giles County,9784,3298,13203
Tennessee,47057,Grainger County,8565,1467,10134
Tennessee,47059,Greene County,22259,5199,28087
Tennessee,47061,Grundy County,4802,988,5855
Tennessee,47063,Hamblen County,18811,5500,24631
Tennessee,47065,Hamilton County,92108,75522,171113
Tennessee,47067,Hancock County,2372,362,2744
Tennessee,47069,Hardeman County,5760,4180,10063
Tennessee,47071,Hardin County,9559,1775,11538
Tennessee,47073,Hawkins County,20405,4083,24824
Tennessee,47075,Haywood County,3343,4012,7439
Tennessee,47077,Henderson County,9797,2092,12020
Tennessee,47079,Henry County,11239,3548,15047
Tennessee,47081,Hickman County,7577,2130,9832
Tennessee,47083,Houston County,2718,871,3686
Tennessee,47085,Humphreys County,6120,2017,8236
Tennessee,47087,Jackson County,4118,1135,5323
Tennessee,47089,Jefferson County,18651,4654,23616
Tennessee,47091,Johnson County,6468,1246,7801
Tennessee,47093,Knox County,124540,91422,220556
Tennessee,47095,Lake County,1492,526,2034
Tennessee,47097,Lauderdale County,5674,3193,8965
Tennessee,47099,Lawrence County,15334,3195,18718
Tennessee,47101,Lewis County,4474,1072,5609
Tennessee,47103,Lincoln County,12281,2919,15608
Tennessee,47105,Loudon County,21713,6948,29347
Tennessee,47107,McMinn County,18198,4361,22844
Tennessee,47109,McNairy County,9093,1943,11275
Tennessee,47111,Macon County,8096,1307,9487
Tennessee,47113,Madison County,23943,18390,42950
Tennessee,47115,Marion County,9911,3177,13256
Tennessee,47117,Marshall County,11043,3605,14878
Tennessee,47119,Maury County,31464,14418,46657
Tennessee,47121,Meigs County,4467,1008,5532
Tennessee,47123,Monroe County,16783,3764,20797
Tennessee,47125,Montgomery County,42187,32472,76758
Tennessee,47127,Moore County,2888,573,3539
Tennessee,47129,Morgan County,6930,1167,8228
Tennessee,47131,Obion County,10790,2589,13521
Tennessee,47133,Overton County,7918,2033,10037
Tennessee,47135,Perry County,2775,615,3428
Tennessee,47137,Pickett County,2381,525,2931
Tennessee,47139,Polk County,6792,1492,8360
Tennessee,47141,Putnam County,23759,9185,33593
Tennessee,47143,Rhea County,11050,2369,13637
Tennessee,47145,Roane County,19230,6043,25917
Tennessee,47147,Robertson County,24536,8692,33717
Tennessee,47149,Rutherford County,81480,59341,143878
Tennessee,47151,Scott County,8004,986,9052
Tennessee,47153,Sequatchie County,5855,1298,7252
Tennessee,47155,Sevier County,33783,8721,43535
Tennessee,47157,Shelby County,129815,246105,382055
Tennessee,47159,Smith County,7136,1802,9051
Tennessee,47161,Stewart County,4950,1232,6296
Tennessee,47163,Sullivan County,55860,17272,74357
Tennessee,47165,Sumner County,63454,27680,92630
Tennessee,47167,Tipton County,20070,6837,27308
Tennessee,47169,Trousdale County,2936,1012,3998
Tennessee,47171,Unicoi County,6599,1615,8307
Tennessee,47173,Union County,6803,1249,8123
Tennessee,47175,Van Buren County,2342,544,2921
Tennessee,47177,Warren County,11850,3924,16009
Tennessee,47179,Washington County,40444,18638,60203
Tennessee,47181,Wayne County,5795,820,6669
Tennessee,47183,Weakley County,10396,3020,13735
Tennessee,47185,White County,9606,2143,11895
Tennessee,47187,Williamson County,86469,50161,139016
Tennessee,47189,Wilson County,50296,22254,74330
