state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Texas,48001,Anderson County,15110,3955,19227
Texas,48003,Andrews County,4943,850,5863
Texas,48005,Angelina County,25076,9143,34574
Texas,48007,Aransas County,9239,2916,12290
Texas,48009,Archer County,4300,446,4796
Texas,48011,Armstrong County,1035,75,1112
Texas,48013,Atascosa County,12039,5876,18118
Texas,48015,Austin County,11447,2951,14554
Texas,48017,Bailey County,1434,409,1860
Texas,48019,Bandera County,10057,2505,12715
Texas,48021,Bastrop County,20516,15474,36665
Texas,48023,Baylor County,1494,183,1702
Texas,48025,Bee County,6006,3288,9420
Texas,48027,Bell County,67893,57014,127375
Texas,48029,Bexar County,308618,448452,768952
Texas,48031,Blanco County,5443,1911,7441
Texas,48033,Borden County,397,16,416
Texas,48035,Bosque County,7469,1561,9126
Texas,48037,Bowie County,27116,10747,38261
Texas,48039,Brazoria County,90433,62228,154984
Texas,48041,Brazos County,47530,35349,85061
Texas,48043,Brewster County,2461,2258,4822
Texas,48045,Briscoe County,639,78,725
Texas,48047,Brooks County,998,1470,2484
Texas,48049,Brown County,13698,2107,15969
Texas,48051,Burleson County,6743,1788,8609
Texas,48053,Burnet County,18767,5639,24717
Texas,48055,Caldwell County,8031,6672,14973
Texas,48057,Calhoun County,5641,2148,7856
Texas,48059,Callahan County,6012,734,6832
Texas,48061,Cameron County,49032,64063,114174
Texas,48063,Camp County,3626,1394,5060
Texas,48065,Carson County,2779,297,3122
Texas,48067,Cass County,11033,2795,13927
Texas,48069,Castro County,1602,466,2083
Texas,48071,Chambers County,17353,3997,21652
Texas,48073,Cherokee County,15101,4210,19508
Texas,48075,Childress County,1943,310,2279
Texas,48077,Clay County,5069,614,5741
Texas,48079,Cochran County,809,177,1000
Texas,48081,Coke County,1586,178,1779
Texas,48083,Coleman County,3641,451,4124
Texas,48085,Collin County,252318,230945,492216
Texas,48087,Collingsworth County,1048,155,1218
Texas,48089,Colorado County,7472,2420,9975
Texas,48091,Comal County,62740,24826,88863
Texas,48093,Comanche County,5177,853,6086
Texas,48095,Concho County,1058,197,1268
Texas,48097,Cooke County,15596,3210,18988
Texas,48099,Coryell County,15438,7565,23490
Texas,48101,Cottle County,540,113,662
Texas,48103,Crane County,1247,241,1503
Texas,48105,Crockett County,1220,344,1574
Texas,48107,Crosby County,1396,527,1953
Texas,48109,Culberson County,415,438,864
Texas,48111,Dallam County,1389,197,1609
Texas,48113,Dallas County,307076,598576,921638
Texas,48115,Dawson County,2951,808,3789
Texas,48117,Deaf Smith County,3294,1264,4610
Texas,48119,Delta County,2162,403,2592
Texas,48121,Denton County,222480,188695,417964
Texas,48123,DeWitt County,6567,1494,8118
Texas,48125,Dickens County,853,130,988
Texas,48127,Dimmit County,1384,2264,3666
Texas,48129,Donley County,1438,198,1648
Texas,48131,Duval County,2443,2575,5053
Texas,48133,Eastland County,7237,983,8292
Texas,48135,Ector County,32697,11367,44581
Texas,48137,Edwards County,893,168,1066
Texas,48139,Ellis County,56717,27565,85493
Texas,48141,El Paso County,84331,178126,267215
Texas,48143,Erath County,13684,2916,16853
Texas,48145,Falls County,4177,1899,6133
Texas,48147,Fannin County,12171,2655,15004
Texas,48149,Fayette County,10171,2661,12941
Texas,48151,Fisher County,1448,352,1826
Texas,48153,Floyd County,1584,438,2039
Texas,48155,Foard County,445,99,551
Texas,48157,Fort Bend County,157718,195552,357514
Texas,48159,Franklin County,4161,804,5009
Texas,48161,Freestone County,6991,1635,8711
Texas,48163,Frio County,2823,2422,5279
Texas,48165,Gaines County,5355,576,5995
Texas,48167,Galveston County,93911,58842,155060
Texas,48169,Garza County,1413,231,1653
Texas,48171,Gillespie County,12514,3176,15846
Texas,48173,Glasscock County,611,39,653
Texas,48175,Goliad County,3085,877,3988
Texas,48177,Gonzales County,5627,1948,7647
Texas,48179,Gray County,6840,829,7782
Texas,48181,Grayson County,44163,14506,59439
Texas,48183,Gregg County,32493,14796,47982
Texas,48185,Grimes County,9432,2833,12413
Texas,48187,Guadalupe County,47553,28805,77592
Texas,48189,Hale County,7177,2279,9584
Texas,48191,Hall County,995,168,1168
Texas,48193,Hamilton County,3616,641,4349
Texas,48195,Hansford County,1849,166,2047
Texas,48197,Hardeman County,1330,241,1580
Texas,48199,Hardin County,23858,3474,27635
Texas,48201,Harris County,700630,918193,1640818
Texas,48203,Harrison County,21466,7908,29710
Texas,48205,Hartley County,1868,195,2078
Texas,48207,Haskell County,1840,353,2214
Texas,48209,Hays County,47680,59524,109357
Texas,48211,Hemphill County,1486,206,1720
Texas,48213,Henderson County,28911,7060,36310
Texas,48215,Hidalgo County,90527,128199,220884
Texas,48217,Hill County,11926,2860,14931
Texas,48219,Hockley County,6536,1482,8095
Texas,48221,Hood County,26496,5648,32541
Texas,48223,Hopkins County,12719,3046,15939
Texas,48225,Houston County,7060,2314,9437
Texas,48227,Howard County,8054,2069,10240
Texas,48229,Hudspeth County,779,371,1165
Texas,48231,Hunt County,29163,8906,38574
Texas,48233,Hutchinson County,7681,965,8771
Texas,48235,Irion County,759,120,889
Texas,48237,Jack County,3418,331,3782
Texas,48239,Jackson County,5231,1033,6340
Texas,48241,Jasper County,12542,2954,15608
Texas,48243,Jeff Davis County,784,501,1305
