state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
West Virginia,54001,Barbour County,5116,1457,6677
West Virginia,54003,Berkeley County,33279,17186,51535
West Virginia,54005,Boone County,6816,2041,9012
West Virginia,54007,Braxton County,4120,1457,5664
West Virginia,54009,Brooke County,7545,2947,10656
West Virginia,54011,Cabell County,21721,14994,37360
West Virginia,54013,Calhoun County,2364,568,2971
West Virginia,54015,Clay County,2679,641,3365
West Virginia,54017,Doddridge County,2619,435,3101
West Virginia,54019,Fayette County,11580,5063,16862
West Virginia,54021,Gilmer County,2012,599,2662
West Virginia,54023,Grant County,4871,607,5509
West Virginia,54025,Greenbrier County,10925,4655,15850
West Virginia,54027,Hampshire County,8033,1939,10086
West Virginia,54029,Hancock County,9806,3790,13800
West Virginia,54031,Hardy County,4859,1381,6331
West Virginia,54033,Harrison County,20683,9215,30465
West Virginia,54035,Jackson County,10093,3207,13508
West Virginia,54037,Jefferson County,15033,12127,27703
West Virginia,54039,Kanawha County,46398,34344,82244
West Virginia,54041,Lewis County,5782,1538,7457
West Virginia,54043,Lincoln County,6012,1711,7830
West Virginia,54045,Logan County,10534,2333,13026
West Virginia,54047,McDowell County,5148,1333,6527
West Virginia,54049,Marion County,16300,8901,25794
West Virginia,54051,Marshall County,10435,3455,14080
West Virginia,54053,Mason County,8491,2526,11203
West Virginia,54055,Mercer County,19237,5556,25134
West Virginia,54057,Mineral County,10040,2660,12872
West Virginia,54059,Mingo County,8544,1397,10022
West Virginia,54061,Monongalia County,20803,20282,42072
West Virginia,54063,Monroe County,5068,1345,6490
West Virginia,54065,Morgan County,6537,1998,8695
West Virginia,54067,Nicholas County,8279,2226,10630
West Virginia,54069,Ohio County,12354,7223,19898
West Virginia,54071,Pendleton County,2782,820,3659
West Virginia,54073,Pleasants County,2742,699,3491
West Virginia,54075,Pocahontas County,2895,1047,4008
West Virginia,54077,Preston County,11190,3163,14572
West Virginia,54079,Putnam County,20034,7878,28501
West Virginia,54081,Raleigh County,24673,7982,33106
West Virginia,54083,Randolph County,8673,3362,12200
West Virginia,54085,Ritchie County,3649,586,4283
West Virginia,54087,Roane County,4213,1455,5763
West Virginia,54089,Summers County,4074,1448,5585
West Virginia,54091,Taylor County,5477,1796,7383
West Virginia,54093,Tucker County,2841,938,3844
West Virginia,54095,Tyler County,3226,631,3922
West Virginia,54097,Upshur County,7771,2256,10221
West Virginia,54099,Wayne County,12585,4088,16947
West Virginia,54101,Webster County,2759,610,3402
West Virginia,54103,Wetzel County,4993,1539,6667
West Virginia,54105,Wirt County,2134,466,2653
West Virginia,54107,Wood County,27202,10926,38762
West Virginia,54109,Wyoming County,7353,1157,8592
