state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Wisconsin,55001,Adams County,7362,4329,11818
Wisconsin,55003,Ashland County,3841,4801,8757
Wisconsin,55005,Barron County,15803,9194,25346
Wisconsin,55007,Bayfield County,4617,6147,10880
Wisconsin,55009,Brown County,75871,65511,144017
Wisconsin,55011,Buffalo County,4834,2860,7816
Wisconsin,55013,Burnett County,6462,3569,10141
Wisconsin,55015,Calumet County,18156,12116,30774
Wisconsin,55017,Chippewa County,21317,13983,35938
Wisconsin,55019,Clark County,10002,4524,14898
Wisconsin,55021,Columbia County,16927,16410,33869
Wisconsin,55023,Crawford County,4620,3953,8695
Wisconsin,55025,Dane County,78800,260185,344791
Wisconsin,55027,Dodge County,31355,16356,48436
Wisconsin,55029,Door County,9752,10044,20117
Wisconsin,55031,Douglas County,10923,13218,24677
Wisconsin,55033,Dunn County,13173,9897,23524
Wisconsin,55035,Eau Claire County,25341,31620,58275
Wisconsin,55037,Florence County,2133,781,2940
Wisconsin,55039,Fond du Lac County,35754,20588,57251
Wisconsin,55041,Forest County,3285,1721,5053
Wisconsin,55043,Grant County,14142,10998,25608
Wisconsin,55045,Green County,10169,10851,21406
Wisconsin,55047,Green Lake County,7168,3344,10671
Wisconsin,55049,Iowa County,5909,7828,13992
Wisconsin,55051,Iron County,2438,1533,4010
Wisconsin,55053,Jackson County,5791,4256,10184
Wisconsin,55055,Jefferson County,27208,19904,47979
Wisconsin,55057,Juneau County,8749,4746,13709
Wisconsin,55059,Kenosha County,44972,42193,88738
Wisconsin,55061,Kewaunee County,7927,3976,12095
Wisconsin,55063,La Crosse County,28684,37846,67884
Wisconsin,55065,Lafayette County,4821,3647,8555
Wisconsin,55067,Langlade County,7330,3704,11165
Wisconsin,55069,Lincoln County,10017,6261,16497
Wisconsin,55071,Manitowoc County,27218,16818,44829
Wisconsin,55073,Marathon County,44624,30808,76751
Wisconsin,55075,Marinette County,15304,7366,22979
Wisconsin,55077,Marquette County,5719,3239,9065
Wisconsin,55078,Menominee County,278,1303,1590
Wisconsin,55079,Milwaukee County,134357,317270,458971
Wisconsin,55081,Monroe County,13775,8433,22611
Wisconsin,55083,Oconto County,16226,6715,23215
Wisconsin,55085,Oneida County,13671,10105,24159
Wisconsin,55087,Outagamie County,58385,47667,108022
Wisconsin,55089,Ozaukee County,33912,26517,61486
Wisconsin,55091,Pepin County,2584,1489,4144
Wisconsin,55093,Pierce County,12815,9796,23317
Wisconsin,55095,Polk County,16611,9370,26371
Wisconsin,55097,Portage County,19299,20428,40603
Wisconsin,55099,Price County,5394,3032,8546
Wisconsin,55101,Racine County,54479,50159,106451
Wisconsin,55103,Richland County,4871,3995,9014
Wisconsin,55105,Rock County,37138,46658,85360
Wisconsin,55107,Rusk County,5257,2517,7886
Wisconsin,55109,St. Croix County,32199,23190,56707
Wisconsin,55111,Sauk County,17493,18108,36203
Wisconsin,55113,Sawyer County,5909,4498,10510
Wisconsin,55115,Shawano County,15173,7131,22615
Wisconsin,55117,Sheboygan County,37609,27101,66011
Wisconsin,55119,Taylor County,7657,2693,10686
Wisconsin,55121,Trempealeau County,8833,6285,15380
Wisconsin,55123,Vernon County,8218,7457,15923
Wisconsin,55125,Vilas County,9261,5903,15369
Wisconsin,55127,Walworth County,33851,22789,57600
Wisconsin,55129,Washburn County,6334,3867,10378
Wisconsin,55131,Washington County,60237,26650,88070
Wisconsin,55133,Waukesha County,159649,103906,267996
Wisconsin,55135,Waupaca County,18952,9703,29130
Wisconsin,55137,Waushara County,9016,4388,13568
Wisconsin,55139,Winnebago County,47796,44060,94032
Wisconsin,55141,Wood County,24308,16365,41298
