state_name,county_fips,county_name,votes_gop,votes_dem,total_votes
Wyoming,56001,Albany County,8579,9092,18617
Wyoming,56003,Big Horn County,4806,788,5752
Wyoming,56005,Campbell County,16975,1935,19566
Wyoming,56007,Carbon County,5014,1427,6664
Wyoming,56009,Converse County,5917,861,6970
Wyoming,56011,Crook County,3651,378,4119
Wyoming,56013,Fremont County,12007,5519,18111
Wyoming,56015,Goshen County,4878,1203,6241
Wyoming,56017,Hot Springs County,1999,482,2577
Wyoming,56019,Johnson County,3881,897,4914
Wyoming,56021,Laramie County,27891,15217,44982
Wyoming,56023,Lincoln County,8643,1509,10468
Wyoming,56025,Natrona County,25271,8530,35202
Wyoming,56027,Niobrara County,1118,155,1308
Wyoming,56029,Park County,12813,3410,16717
Wyoming,56031,Platte County,3898,890,4923
Wyoming,56033,Sheridan County,11843,4043,16428
Wyoming,56035,Sublette County,3957,882,4970
Wyoming,56037,Sweetwater County,12229,3823,16603
Wyoming,56039,Teton County,4341,9848,14677
Wyoming,56041,Uinta County,7496,1591,9402
Wyoming,56043,Washakie County,3245,651,4012
Wyoming,56045,Weston County,3107,360,3542
